Date;Price min;Price max
11-10-2021;0.0;0.0
02-09-2021;3.3;4.1
25-08-2021;3.2;3.4
23-08-2021;3.2;4.0
20-08-2021;3.2;3.6
09-08-2021;2.8;3.2
06-08-2021;2.8;3.5
26-07-2021;2.5;3.5
23-07-2021;2.4;3.8
16-07-2021;1.2;3.6
14-07-2021;2.0;3.6
12-07-2021;2.2;3.6
05-07-2021;2.2;3.5
01-07-2021;3.3;3.5
30-06-2021;3.0;3.7
25-06-2021;2.8;3.5
14-06-2021;3.3;4.2
10-06-2021;3.0;4.2
03-06-2021;2.0;4.6
26-05-2021;2.3;5.0
17-05-2021;4.0;6.2
12-05-2021;6.5;6.5
05-05-2021;8.0;8.0
01-10-2020;0.0;0.0
17-08-2020;3.5;3.7
13-08-2020;2.8;2.8
03-08-2020;2.4;3.5
24-07-2020;2.8;3.3
17-07-2020;3.0;3.3
06-07-2020;2.6;3.0
03-07-2020;2.5;3.1
01-07-2020;1.8;2.8
05-06-2020;2.0;4.0
04-05-2020;5.5;7.0
02-10-2019;0.0;0.0
18-06-2019;1.6;2.5
20-05-2019;2.5;4.0
14-09-2018;0.0;0.0
30-08-2018;2.8;2.8
20-08-2018;2.8;2.8
17-08-2018;2.7;2.8
09-08-2018;2.5;3.0
02-08-2018;2.8;3.0
25-07-2018;2.0;3.2
18-07-2018;1.4;3.3
16-07-2018;1.8;3.3
13-07-2018;2.0;2.6
09-07-2018;1.9;2.6
04-07-2018;1.6;2.6
26-06-2018;1.7;2.4
18-06-2018;2.0;2.2
11-06-2018;1.9;2.4
04-06-2018;1.0;2.5
30-05-2018;2.2;3.0
30-10-2017;0.0;0.0
10-10-2017;0.0;0.0
04-10-2017;2.0;2.0
11-09-2017;0.0;0.0
17-08-2017;2.0;2.0
10-08-2017;1.4;2.0
08-08-2017;1.4;2.3
02-08-2017;1.0;2.0
28-07-2017;1.0;2.5
25-07-2017;1.0;2.2
19-07-2017;1.0;2.5
14-07-2017;1.2;2.0
09-07-2017;1.1;2.4
26-06-2017;0.8;2.6
21-06-2017;1.0;2.6
19-06-2017;1.0;3.0
14-06-2017;1.0;2.7
12-06-2017;1.4;2.7
08-06-2017;1.7;2.0
01-06-2017;1.6;2.6
08-10-2016;0.0;0.0
02-08-2016;2.8;3.5
26-07-2016;2.5;3.5
20-07-2016;3.5;4.0
18-07-2016;3.5;3.5
14-07-2016;2.6;3.2
11-07-2016;2.2;3.0
07-07-2016;1.6;1.6
06-07-2016;1.6;2.7
04-07-2016;1.3;2.0
01-07-2016;1.4;2.3
29-06-2016;1.4;2.6
27-06-2016;1.5;2.3
24-06-2016;1.5;2.0
22-06-2016;1.2;2.2
20-06-2016;1.4;2.2
15-06-2016;1.4;2.5
14-06-2016;1.4;2.8
13-06-2016;1.4;2.5
07-06-2016;1.2;2.6
06-06-2016;1.3;2.8
03-06-2016;1.3;2.6
30-05-2016;1.4;2.7
23-11-2015;0.0;0.0
04-11-2015;2.5;2.5
28-09-2015;0.0;0.0
25-09-2015;2.5;2.5
23-09-2015;3.0;3.0
01-09-2015;0.0;0.0
24-08-2015;4.0;4.0
10-08-2015;3.0;3.0
04-08-2015;3.2;3.2
27-07-2015;2.0;2.0
22-07-2015;1.7;2.0
16-07-2015;1.0;2.0
13-07-2015;1.1;1.9
07-07-2015;1.5;1.9
01-07-2015;1.5;3.0
22-06-2015;2.0;2.6
19-06-2015;2.0;3.0
09-06-2015;2.0;3.3
04-06-2015;2.0;4.0
01-06-2015;3.6;3.6
28-05-2015;4.0;4.0
25-05-2015;4.0;5.0
21-05-2015;5.0;6.0
20-05-2015;5.0;5.0
15-05-2015;6.0;7.0
14-05-2015;7.0;7.5
11-05-2015;7.5;10.0
07-05-2015;7.5;14.0
10-04-2015;0.0;0.0
01-04-2015;7.0;7.0
16-01-2015;0.0;0.0
06-01-2015;16.0;16.0
11-09-2014;0.0;0.0
08-09-2014;4.0;4.0
26-08-2014;3.5;3.8
18-08-2014;3.3;3.5
04-08-2014;1.8;3.0
30-07-2014;1.8;1.8
25-07-2014;1.8;3.0
21-07-2014;1.5;3.0
07-07-2014;1.0;1.6
03-07-2014;1.5;3.0
01-07-2014;1.3;2.8
24-06-2014;1.5;2.4
12-06-2014;2.0;2.2
28-05-2014;2.8;2.8
27-05-2014;2.6;3.0
26-05-2014;2.6;2.8
22-05-2014;3.0;3.3
21-05-2014;3.0;3.0
19-05-2014;3.5;6.0
14-05-2014;4.5;6.0
13-05-2014;6.0;6.0
07-05-2014;10.0;10.0
30-04-2014;12.0;12.0
29-04-2014;12.0;12.0
