Date, Price min, Price max
28-02-2022, 2.0, 2.6
12-07-2021, 1.64, 2.5
14-12-2020, 1.64, 2.4
04-11-2020, 1.45, 2.3
03-08-2020, 1.5, 2.4
01-07-2020, 1.85, 2.4
11-06-2020, 1.85, 2.6
13-12-2019, 1.85, 2.4
02-10-2019, 1.89, 2.3
05-04-2019, 1.94, 2.5
21-02-2019, 1.73, 2.4
15-01-2019, 1.64, 3.8
15-11-2018, 1.54, 3.6
25-09-2018, 1.69, 2.2
04-06-2018, 1.58, 2.2
30-05-2018, 1.8, 2.2
08-05-2018, 2.0, 2.4
01-05-2018, 2.0, 2.5
20-04-2018, 2.0, 2.6
16-04-2018, 1.7, 2.6
10-04-2018, 1.7, 2.7
20-03-2018, 1.6, 2.7
07-03-2018, 1.6, 2.7
26-02-2018, 2.2, 2.7
15-02-2018, 2.2, 2.8
06-02-2018, 2.2, 2.6
12-01-2018, 1.9, 2.5
28-12-2017, 1.7, 2.4
10-11-2017, 1.7, 2.3
30-10-2017, 1.7, 2.4
04-10-2017, 1.7, 2.3
28-09-2017, 1.75, 2.4
21-09-2017, 2.2, 2.3
23-08-2017, 1.5, 2.3
02-08-2017, 1.5, 2.4
19-07-2017, 1.6, 2.4
01-06-2017, 2.1, 2.6
15-05-2017, 2.25, 2.6
05-05-2017, 2.45, 2.8
13-04-2017, 2.3, 2.6
14-03-2017, 2.25, 2.5
06-03-2017, 1.95, 2.5
16-02-2017, 2.15, 2.4
14-02-2017, 1.95, 2.4
09-02-2017, 1.8, 2.4
23-01-2017, 1.75, 2.3
17-01-2017, 1.85, 2.3
09-01-2017, 1.75, 2.5
05-01-2017, 1.75, 2.3
29-12-2016, 1.75, 2.3
22-12-2016, 1.9, 2.3
08-11-2016, 2.0, 2.3
17-10-2016, 2.0, 3.0
06-10-2016, 2.3, 2.4
26-09-2016, 2.5, 2.5
07-09-2016, 2.5, 2.5
05-09-2016, 2.5, 2.6
02-09-2016, 2.5, 2.6
