Date;Price min;Price max
23-02-2022;1.2;2.2
14-02-2022;1.0;1.2
17-01-2022;0.7;1.0
10-01-2022;1.0;1.0
04-01-2022;0.7;1.1
29-11-2021;1.0;1.1
03-11-2021;0.8;1.1
11-10-2021;0.6;1.0
02-09-2021;0.9;1.2
23-08-2021;0.6;1.1
02-08-2021;0.6;0.8
23-07-2021;0.7;0.8
07-07-2021;0.4;0.7
05-07-2021;0.4;0.8
02-07-2021;0.7;0.8
01-07-2021;0.7;0.7
29-06-2021;0.6;1.0
10-06-2021;0.8;1.0
13-04-2021;1.0;1.5
06-04-2021;0.8;0.8
24-03-2021;0.7;0.8
04-01-2021;0.6;0.8
03-12-2020;0.5;0.7
03-11-2020;0.7;0.7
19-10-2020;0.7;0.8
01-10-2020;0.7;0.8
01-09-2020;0.6;0.8
03-08-2020;0.5;0.7
29-07-2020;0.6;0.7
08-07-2020;0.5;0.7
01-07-2020;0.6;0.7
15-05-2020;0.65;0.7
20-03-2020;0.6;1.0
13-12-2019;0.6;0.8
05-10-2019;0.6;0.7
02-10-2019;0.55;0.8
04-06-2019;0.4;0.6
28-05-2019;0.4;0.9
20-05-2019;0.6;1.0
08-05-2019;0.9;1.3
13-03-2019;1.2;1.5
21-02-2019;1.2;1.2
30-01-2019;0.8;1.0
15-01-2019;0.7;0.8
26-11-2018;0.6;0.8
06-11-2018;0.6;0.65
18-10-2018;0.6;0.7
08-10-2018;0.5;0.8
25-09-2018;0.65;0.7
14-09-2018;0.6;0.8
10-09-2018;0.6;0.7
03-09-2018;0.7;0.8
27-08-2018;0.6;0.8
23-08-2018;0.7;0.9
20-08-2018;0.55;0.9
17-08-2018;0.8;0.8
13-08-2018;0.8;1.0
09-08-2018;0.8;1.2
07-08-2018;0.7;1.0
02-08-2018;0.7;0.9
23-07-2018;0.6;0.7
09-07-2018;0.6;1.0
04-07-2018;0.9;1.0
26-06-2018;0.9;1.1
04-06-2018;0.95;1.1
30-05-2018;0.9;1.2
01-05-2018;0.5;1.2
23-04-2018;0.5;0.85
20-04-2018;0.5;1.2
04-04-2018;0.5;0.7
31-03-2018;0.55;0.7
23-03-2018;0.5;2.0
20-03-2018;0.6;0.7
06-02-2018;0.5;0.65
30-01-2018;0.55;0.65
09-01-2018;0.6;0.65
28-12-2017;0.5;0.6
15-12-2017;0.55;0.7
11-12-2017;0.6;0.7
01-12-2017;0.5;0.65
24-11-2017;0.5;0.7
16-11-2017;0.6;0.65
10-11-2017;0.5;0.7
07-11-2017;0.5;0.65
30-10-2017;0.6;0.7
10-10-2017;0.5;0.8
28-09-2017;0.6;0.8
25-09-2017;0.55;0.8
21-09-2017;0.5;0.8
18-09-2017;0.55;0.8
11-09-2017;0.6;0.8
29-08-2017;0.45;0.5
23-08-2017;0.4;0.45
09-07-2017;0.4;0.5
28-06-2017;0.3;0.5
22-06-2017;0.3;0.6
21-06-2017;0.45;0.6
19-06-2017;0.4;0.6
12-06-2017;0.45;0.6
01-06-2017;0.5;0.6
15-05-2017;0.6;0.8
05-05-2017;0.7;0.9
