Date, Price min, Price max
02-08-2021, 4.0, 4.0
21-07-2021, 5.0, 5.0
12-07-2021, 2.0, 3.4
05-07-2021, 2.0, 4.0
02-07-2021, 2.0, 3.8
30-06-2021, 2.0, 5.5
22-06-2021, 2.0, 2.5
08-06-2021, 1.5, 3.5
04-06-2021, 2.5, 4.5
03-06-2021, 3.0, 5.0
28-05-2021, 3.6, 5.0
25-05-2021, 5.0, 5.8
21-05-2021, 8.0, 8.0
17-05-2021, 18.0, 18.0
08-07-2020, 2.8, 3.2
03-07-2020, 2.5, 3.0
01-07-2020, 2.0, 3.0
18-06-2019, 1.7, 3.5
10-06-2019, 2.0, 3.0
04-06-2019, 2.2, 3.0
28-05-2019, 4.3, 6.0
20-05-2019, 3.7, 6.5
08-05-2019, 10.0, 12.0
04-07-2018, 1.6, 4.0
26-06-2018, 1.6, 4.5
18-06-2018, 1.4, 4.5
11-06-2018, 1.8, 4.5
07-06-2018, 1.9, 4.5
04-06-2018, 2.0, 4.5
30-05-2018, 1.9, 5.4
08-05-2018, 18.0, 5.0
28-12-2017, 30.0, 30.0
19-07-2017, 3.0, 4.0
14-07-2017, 2.8, 3.0
09-07-2017, 3.0, 4.0
28-06-2017, 2.3, 4.5
26-06-2017, 2.3, 3.0
22-06-2017, 1.5, 4.2
21-06-2017, 2.0, 4.2
19-06-2017, 1.5, 3.0
12-06-2017, 2.4, 2.8
08-06-2017, 1.8, 3.0
15-05-2017, 5.5, 8.0
10-05-2017, 7.0, 18.0
02-05-2017, 18.0, 18.0
03-08-2016, 7.5, 7.5
26-07-2016, 5.0, 5.5
22-07-2016, 5.3, 5.5
20-07-2016, 5.5, 5.5
19-07-2016, 5.0, 5.0
18-07-2016, 5.5, 5.5
06-07-2016, 4.5, 4.5
04-07-2016, 3.8, 3.8
01-07-2016, 2.2, 4.0
29-06-2016, 3.0, 4.0
27-06-2016, 3.0, 3.0
23-06-2016, 2.0, 4.0
22-06-2016, 2.5, 4.0
21-06-2016, 1.4, 4.0
17-06-2016, 2.5, 4.0
14-06-2016, 2.0, 2.5
13-06-2016, 1.6, 2.5
09-06-2016, 2.0, 3.5
08-06-2016, 1.7, 3.5
06-06-2016, 1.8, 2.5
03-06-2016, 2.0, 4.0
01-06-2016, 2.5, 4.0
30-05-2016, 1.8, 3.0
12-05-2016, 8.0, 8.0
09-05-2016, 9.0, 9.0
24-08-2015, 5.0, 5.0
18-08-2015, 4.0, 4.0
12-08-2015, 3.5, 3.5
04-08-2015, 3.0, 3.0
22-07-2015, 2.5, 2.5
16-07-2015, 1.2, 2.0
13-07-2015, 1.2, 2.2
08-07-2015, 1.6, 2.2
07-07-2015, 1.8, 2.0
01-07-2015, 1.7, 2.2
26-06-2015, 1.0, 2.0
22-06-2015, 1.6, 2.0
19-06-2015, 1.2, 2.0
16-06-2015, 1.0, 2.5
10-06-2015, 1.5, 2.3
09-06-2015, 1.2, 2.1
04-06-2015, 1.5, 2.5
01-06-2015, 1.8, 2.5
28-05-2015, 1.5, 3.0
25-05-2015, 1.5, 4.0
21-05-2015, 4.2, 7.0
20-05-2015, 5.5, 7.0
14-05-2015, 17.0, 17.0
07-05-2015, 32.0, 32.0
18-08-2014, 8.0, 8.0
04-08-2014, 6.0, 6.0
21-07-2014, 4.0, 4.0
07-07-2014, 3.5, 3.8
03-07-2014, 2.4, 4.0
01-07-2014, 2.4, 3.8
24-06-2014, 2.0, 2.4
12-06-2014, 1.4, 2.0
29-05-2014, 1.5, 2.5
28-05-2014, 2.2, 3.0
27-05-2014, 1.3, 3.0
26-05-2014, 1.5, 3.0
23-05-2014, 2.5, 3.0
22-05-2014, 2.5, 4.5
21-05-2014, 3.0, 3.0
20-05-2014, 2.5, 4.0
19-05-2014, 2.5, 3.2
16-05-2014, 6.0, 7.0
15-05-2014, 6.0, 6.0
13-05-2014, 10.0, 10.0
09-05-2014, 12.0, 12.0
07-05-2014, 14.0, 14.0
