Date, Price min, Price max
02-09-2021, 3.0, 11.0
25-08-2021, 7.5, 11.0
23-08-2021, 7.5, 7.5
06-08-2021, 3.5, 9.5
05-08-2021, 10.5, 10.5
02-08-2021, 13.5, 13.5
19-07-2021, 5.0, 9.0
01-07-2021, 9.0, 9.0
30-06-2021, 10.0, 10.0
01-10-2020, 5.5, 6.0
14-08-2020, 3.0, 4.0
10-08-2020, 5.0, 5.0
03-08-2020, 12.0, 12.0
22-07-2020, 6.0, 6.5
08-06-2020, 10.0, 10.0
02-10-2019, 6.5, 7.0
18-06-2019, 10.0, 10.0
21-09-2018, 6.5, 6.5
03-09-2018, 3.5, 5.0
27-08-2018, 3.0, 4.0
23-08-2018, 4.0, 4.0
20-08-2018, 3.0, 4.0
17-08-2018, 3.0, 5.5
09-08-2018, 2.0, 4.0
02-08-2018, 4.0, 4.0
23-07-2018, 5.0, 5.0
13-07-2018, 3.5, 3.5
09-07-2018, 5.0, 5.0
04-10-2017, 6.0, 6.0
28-09-2017, 4.0, 4.0
25-09-2017, 3.5, 4.0
29-08-2017, 3.5, 3.5
23-08-2017, 3.5, 4.5
02-08-2017, 5.0, 5.0
25-07-2017, 4.5, 4.5
24-10-2016, 6.5, 6.5
19-09-2016, 5.5, 5.5
13-09-2016, 2.5, 3.5
30-08-2016, 2.0, 4.0
22-06-2016, 4.5, 4.5
28-09-2015, 4.0, 4.0
23-09-2015, 4.5, 4.5
08-09-2015, 2.0, 4.0
04-09-2015, 2.5, 4.0
01-09-2015, 2.5, 3.0
27-08-2015, 2.5, 4.0
24-08-2015, 4.0, 4.0
18-08-2015, 4.5, 4.5
10-08-2015, 6.0, 6.0
16-07-2015, 4.0, 7.0
13-07-2015, 7.0, 7.0
01-07-2015, 7.0, 15.0
16-06-2015, 10.0, 10.0
09-06-2015, 14.0, 14.0
01-06-2015, 16.0, 16.0
20-10-2014, 4.5, 4.5
06-10-2014, 5.0, 5.0
26-09-2014, 5.0, 5.0
25-09-2014, 4.0, 4.0
08-09-2014, 5.0, 6.0
18-08-2014, 4.5, 4.5
11-08-2014, 3.0, 5.0
25-07-2014, 7.0, 7.0
28-10-2013, 5.0, 5.0
25-10-2013, 5.0, 5.0
23-10-2013, 5.0, 5.0
21-10-2013, 5.5, 5.5
18-10-2013, 5.5, 5.5
27-09-2013, 4.5, 4.7
13-09-2013, 4.5, 5.0
02-09-2013, 2.2, 4.0
28-08-2013, 2.0, 4.5
27-08-2013, 2.5, 4.8
13-08-2013, 2.5, 4.0
05-08-2013, 2.5, 3.0
02-08-2013, 2.5, 3.5
30-07-2013, 3.0, 4.5
29-07-2013, 3.5, 6.5
15-07-2013, 3.5, 4.5
04-07-2013, 4.5, 6.0
28-06-2013, 4.5, 4.5
27-06-2013, 5.0, 6.5
17-06-2013, 5.0, 5.0
