Date;Price min;Price max
29-11-2021;4.0;4.5
03-11-2021;4.0;6.0
11-10-2021;4.0;4.8
02-09-2021;4.0;6.0
02-08-2021;3.8;5.5
07-07-2021;4.0;5.0
06-07-2021;4.0;4.5
01-07-2021;3.5;4.0
29-06-2021;4.0;4.5
22-06-2021;4.0;6.0
10-06-2021;4.0;4.5
19-04-2021;3.5;5.5
02-02-2021;5.0;5.0
01-09-2020;4.0;6.0
03-08-2020;4.7;5.5
29-07-2020;5.0;5.5
08-07-2020;3.5;5.5
20-03-2020;4.5;7.5
28-10-2019;4.0;5.0
02-10-2019;4.0;4.5
18-06-2019;3.5;4.5
04-06-2019;4.0;5.0
28-05-2019;3.5;4.5
05-04-2019;3.0;4.5
13-03-2019;3.5;3.5
13-12-2018;3.5;4.5
03-09-2018;3.0;5.0
23-08-2018;3.0;4.0
09-08-2018;3.0;4.5
02-08-2018;3.0;4.0
25-07-2018;3.0;5.0
18-07-2018;3.2;5.0
16-07-2018;3.5;5.0
13-07-2018;3.0;5.0
04-07-2018;3.5;4.0
18-06-2018;3.0;3.5
11-06-2018;2.5;3.5
04-06-2018;2.2;3.5
30-05-2018;3.0;4.0
08-05-2018;3.0;5.0
01-05-2018;3.4;4.0
20-04-2018;3.4;4.5
04-04-2018;3.5;4.5
31-03-2018;3.4;6.5
23-03-2018;3.5;6.5
20-03-2018;3.5;6.0
07-03-2018;3.5;4.0
21-02-2018;3.0;3.6
30-01-2018;3.0;5.0
12-01-2018;2.8;3.6
09-01-2018;3.5;3.6
28-12-2017;3.5;4.0
15-12-2017;3.4;4.0
11-12-2017;3.4;6.0
16-11-2017;3.5;6.5
10-11-2017;3.4;6.5
07-11-2017;3.4;6.0
30-10-2017;3.4;6.5
28-09-2017;3.6;6.0
25-09-2017;3.5;6.0
21-09-2017;3.0;6.0
11-09-2017;3.5;6.0
17-08-2017;3.5;5.0
25-07-2017;3.5;4.5
19-07-2017;4.0;4.5
09-07-2017;3.5;4.5
26-06-2017;3.5;4.5
22-06-2017;3.2;4.7
21-06-2017;4.0;4.7
19-06-2017;3.2;4.7
01-06-2017;4.0;5.0
15-05-2017;6.5;7.0
05-05-2017;7.0;7.5
28-04-2017;6.5;7.0
05-04-2017;5.5;7.0
30-03-2017;5.5;6.5
21-03-2017;6.0;6.5
14-03-2017;5.0;6.5
06-03-2017;6.0;6.5
16-02-2017;5.5;6.7
14-02-2017;5.5;6.5
06-02-2017;5.5;6.7
19-01-2017;5.5;6.5
17-01-2017;4.5;6.5
09-01-2017;4.5;6.0
29-12-2016;4.5;8.0
22-12-2016;4.5;6.0
15-11-2016;4.5;6.0
08-11-2016;5.0;6.0
17-10-2016;5.0;5.5
11-10-2016;5.0;5.5
19-09-2016;4.5;5.5
19-07-2016;4.5;5.5
11-07-2016;4.5;5.3
06-07-2016;4.7;5.0
04-07-2016;4.5;5.0
01-07-2016;5.0;5.2
27-06-2016;5.0;5.5
21-06-2016;4.8;5.0
20-06-2016;5.0;5.0
13-06-2016;4.0;4.0
07-06-2016;3.8;4.0
02-06-2016;3.5;4.0
30-05-2016;4.0;4.0
09-05-2016;5.0;5.5
04-05-2016;5.0;5.2
15-04-2016;5.0;5.5
12-04-2016;5.0;6.0
24-03-2016;5.0;5.7
08-03-2016;4.5;5.5
01-03-2016;3.5;6.0
27-01-2016;4.5;7.0
22-01-2016;4.0;5.5
04-01-2016;4.0;4.5
14-12-2015;4.5;4.5
08-12-2015;4.5;5.0
01-12-2015;4.5;4.5
23-11-2015;4.2;4.5
28-10-2015;4.0;4.5
20-10-2015;3.5;4.0
01-09-2015;3.5;5.0
27-08-2015;2.0;5.0
24-08-2015;3.5;5.0
18-08-2015;3.5;4.0
12-08-2015;3.5;5.0
10-08-2015;3.5;4.0
04-08-2015;3.2;5.0
27-07-2015;3.5;5.0
23-07-2015;3.3;5.0
17-07-2015;3.5;5.0
16-07-2015;3.3;5.0
13-07-2015;3.5;5.0
08-07-2015;3.0;5.0
07-07-2015;3.5;5.5
01-07-2015;3.3;5.0
26-06-2015;3.2;4.2
09-06-2015;2.7;5.0
04-06-2015;2.7;4.5
28-05-2015;2.7;5.0
21-05-2015;3.0;5.0
11-05-2015;2.5;3.0
04-05-2015;2.8;3.0
15-04-2015;3.0;3.0
07-04-2015;3.0;3.0
18-03-2015;2.5;3.2
04-03-2015;3.0;3.2
16-02-2015;2.5;3.5
06-02-2015;2.5;4.0
29-01-2015;3.0;4.0
16-01-2015;3.0;3.0
13-01-2015;3.0;3.3
06-01-2015;2.5;3.5
05-12-2014;3.0;3.5
25-11-2014;2.5;3.3
17-11-2014;2.5;3.5
14-11-2014;2.5;3.3
10-11-2014;2.5;3.0
04-11-2014;2.2;3.3
28-10-2014;2.8;3.5
20-10-2014;3.0;3.5
25-09-2014;2.8;3.0
19-09-2014;2.5;3.0
11-09-2014;1.5;3.0
20-08-2014;2.3;3.0
04-08-2014;2.5;3.0
15-07-2014;2.0;3.0
07-07-2014;2.5;3.0
03-07-2014;2.0;3.0
01-07-2014;2.3;3.0
24-06-2014;2.2;3.0
12-06-2014;2.2;3.2
29-05-2014;3.2;4.5
19-05-2014;3.5;4.5
07-05-2014;3.5;3.5
30-04-2014;3.5;4.5
29-04-2014;3.5;4.5
28-04-2014;3.5;4.5
25-04-2014;3.5;4.5
24-04-2014;3.5;4.5
23-04-2014;3.5;4.5
22-04-2014;3.5;4.5
17-04-2014;3.5;4.2
16-04-2014;3.0;4.0
15-04-2014;3.0;4.0
14-04-2014;3.0;3.5
01-04-2014;3.0;3.0
24-03-2014;2.8;3.0
17-03-2014;2.4;3.0
13-03-2014;2.5;3.0
06-03-2014;2.4;3.0
26-02-2014;2.0;3.0
24-02-2014;2.5;3.0
21-02-2014;2.0;3.0
12-02-2014;2.6;3.0
10-02-2014;2.6;3.8
07-02-2014;1.6;3.0
30-01-2014;2.5;3.0
27-01-2014;2.0;3.0
24-01-2014;2.5;3.0
22-01-2014;2.2;3.0
20-01-2014;2.6;3.0
17-01-2014;2.5;4.0
13-01-2014;2.0;3.0
10-01-2014;2.6;3.0
08-01-2014;2.0;3.0
03-01-2014;2.5;3.0
