Date, Price min, Price max
28-02-2022, 1.7, 2.5
04-01-2022, 2.6, 2.7
29-11-2021, 2.2, 2.7
22-11-2021, 2.7, 2.8
11-10-2021, 3.0, 3.2
02-08-2021, 4.5, 5.0
26-07-2021, 4.0, 5.2
01-07-2021, 4.5, 5.0
28-06-2021, 5.0, 5.0
05-05-2021, 2.8, 3.0
02-02-2021, 1.8, 2.8
14-12-2020, 1.5, 2.3
04-11-2020, 2.2, 2.4
01-10-2020, 2.0, 5.0
01-09-2020, 3.0, 5.0
03-08-2020, 4.8, 4.8
01-07-2020, 2.6, 5.0
11-06-2020, 2.6, 6.0
25-05-2020, 4.2, 6.0
20-03-2020, 1.5, 2.4
13-12-2019, 1.3, 1.8
02-10-2019, 1.8, 2.6
18-06-2019, 1.8, 3.0
05-04-2019, 1.5, 2.0
21-02-2019, 1.4, 2.0
15-01-2019, 1.5, 2.0
15-11-2018, 1.2, 1.9
23-10-2018, 1.7, 2.0
25-09-2018, 2.0, 2.0
03-09-2018, 2.0, 3.0
30-08-2018, 1.6, 3.2
15-08-2018, 1.6, 3.3
13-08-2018, 1.6, 3.6
09-08-2018, 1.6, 3.2
02-08-2018, 1.6, 3.6
23-07-2018, 1.5, 4.0
09-07-2018, 1.5, 3.6
04-07-2018, 1.5, 3.5
18-06-2018, 1.7, 1.9
11-06-2018, 1.7, 2.6
04-06-2018, 1.5, 1.9
30-05-2018, 1.9, 2.5
08-05-2018, 1.6, 2.5
10-04-2018, 1.5, 2.5
31-03-2018, 1.8, 2.2
23-03-2018, 2.0, 2.3
07-03-2018, 1.8, 2.5
26-02-2018, 1.5, 2.4
15-02-2018, 1.5, 2.6
06-02-2018, 1.5, 2.3
30-01-2018, 2.0, 2.5
18-01-2018, 1.7, 2.6
12-01-2018, 1.8, 2.5
28-12-2017, 1.3, 2.2
01-12-2017, 1.3, 2.3
16-11-2017, 1.7, 2.3
10-11-2017, 2.0, 2.5
07-11-2017, 1.7, 2.2
30-10-2017, 1.5, 1.7
04-10-2017, 1.5, 2.4
28-09-2017, 2.0, 2.4
21-09-2017, 2.0, 3.0
11-09-2017, 2.8, 2.8
29-08-2017, 4.0, 6.5
23-08-2017, 6.5, 6.5
17-08-2017, 4.5, 6.0
10-08-2017, 4.5, 4.5
28-07-2017, 3.8, 4.0
25-07-2017, 4.0, 4.0
21-07-2017, 3.2, 4.0
19-07-2017, 3.5, 4.0
14-07-2017, 3.5, 4.2
09-07-2017, 2.2, 4.2
28-06-2017, 2.3, 4.5
26-06-2017, 3.6, 4.5
21-06-2017, 4.0, 4.5
19-06-2017, 3.7, 4.5
12-06-2017, 3.3, 4.0
01-06-2017, 2.5, 3.8
15-05-2017, 1.7, 3.2
05-05-2017, 2.0, 2.8
24-04-2017, 1.6, 2.5
13-04-2017, 1.4, 2.4
05-04-2017, 1.0, 2.4
30-03-2017, 1.4, 2.2
21-03-2017, 1.5, 2.2
14-03-2017, 1.4, 2.1
06-03-2017, 1.4, 2.3
21-02-2017, 1.2, 2.3
16-02-2017, 1.4, 2.3
09-02-2017, 1.5, 2.3
23-01-2017, 1.8, 2.3
17-01-2017, 1.5, 2.2
09-01-2017, 1.3, 2.0
29-12-2016, 1.2, 1.9
22-12-2016, 1.0, 1.8
18-11-2016, 1.0, 1.8
08-11-2016, 1.1, 1.8
24-10-2016, 1.2, 2.0
17-10-2016, 1.4, 2.2
26-09-2016, 2.2, 2.4
20-09-2016, 1.0, 2.5
05-09-2016, 1.1, 2.5
