Date, Price min, Price max
04-01-2022, 1.6, 1.8
29-11-2021, 1.5, 2.0
22-11-2021, 1.7, 2.0
03-11-2021, 1.6, 2.0
11-10-2021, 2.0, 2.8
02-09-2021, 2.7, 3.5
11-08-2021, 2.8, 3.5
02-08-2021, 3.2, 3.5
23-07-2021, 2.3, 3.0
07-07-2021, 2.0, 3.0
06-07-2021, 2.0, 2.5
01-07-2021, 2.0, 2.8
14-06-2021, 2.0, 2.4
19-04-2021, 1.9, 2.1
02-02-2021, 1.7, 2.2
14-12-2020, 1.5, 2.1
04-11-2020, 1.8, 2.8
01-10-2020, 2.3, 3.2
03-08-2020, 2.7, 3.5
22-07-2020, 3.0, 3.5
01-07-2020, 2.4, 3.8
01-06-2020, 2.8, 4.0
20-03-2020, 2.6, 3.7
13-12-2019, 2.0, 2.6
02-10-2019, 2.4, 2.9
18-06-2019, 2.6, 3.3
08-05-2019, 2.2, 2.8
21-02-2019, 1.6, 2.0
15-01-2019, 1.4, 2.0
18-10-2018, 1.6, 2.0
08-10-2018, 1.4, 2.0
25-09-2018, 2.0, 2.5
14-09-2018, 2.2, 4.0
03-09-2018, 2.5, 3.8
30-08-2018, 3.0, 3.8
27-08-2018, 3.3, 3.8
17-08-2018, 3.0, 3.85
13-08-2018, 3.0, 3.8
07-08-2018, 3.0, 3.7
13-07-2018, 3.0, 3.6
04-07-2018, 3.0, 3.5
04-06-2018, 2.4, 3.5
30-05-2018, 2.0, 3.5
08-05-2018, 2.0, 2.4
07-03-2018, 2.0, 2.3
26-02-2018, 2.0, 2.4
06-02-2018, 1.9, 2.4
23-01-2018, 2.1, 2.4
12-01-2018, 2.0, 2.4
28-12-2017, 2.0, 2.3
11-12-2017, 2.0, 2.4
30-10-2017, 2.2, 2.4
10-10-2017, 2.2, 2.8
04-10-2017, 2.0, 2.8
28-09-2017, 2.5, 3.2
25-09-2017, 2.8, 3.2
21-09-2017, 2.8, 3.5
11-09-2017, 3.0, 3.6
29-08-2017, 2.8, 3.6
23-08-2017, 3.0, 3.5
02-08-2017, 2.8, 3.6
28-07-2017, 2.7, 3.6
25-07-2017, 2.8, 3.6
19-07-2017, 2.8, 3.5
26-06-2017, 2.7, 3.6
19-06-2017, 2.8, 3.8
08-06-2017, 2.7, 4.0
01-06-2017, 2.3, 4.0
15-05-2017, 2.5, 2.6
05-05-2017, 2.6, 2.6
13-04-2017, 2.3, 2.6
21-03-2017, 2.0, 2.5
14-03-2017, 2.0, 2.4
06-03-2017, 1.9, 2.4
21-02-2017, 1.6, 2.4
16-02-2017, 1.6, 2.3
14-02-2017, 1.8, 2.3
09-02-2017, 1.65, 2.3
19-01-2017, 1.8, 2.3
17-01-2017, 1.6, 2.3
09-01-2017, 1.7, 2.3
03-01-2017, 2.0, 2.0
29-12-2016, 1.3, 2.0
22-12-2016, 1.6, 2.0
18-11-2016, 1.8, 2.2
17-10-2016, 1.8, 3.0
26-09-2016, 3.1, 3.2
07-09-2016, 3.7, 4.5
05-09-2016, 4.0, 4.4
