Date;Price min;Price max
10-01-2022;0.0;0.0
04-01-2022;3.0;3.0
11-10-2021;0.0;0.0
02-09-2021;0.9;1.4
23-08-2021;1.0;1.0
06-08-2021;0.7;1.0
26-07-2021;0.9;1.7
12-07-2021;1.1;1.7
07-07-2021;1.1;1.8
05-07-2021;1.1;1.7
02-07-2021;1.0;1.7
01-07-2021;1.05;1.7
29-06-2021;1.0;1.3
14-06-2021;1.6;2.3
10-06-2021;1.8;2.4
26-05-2021;1.2;2.0
21-05-2021;1.8;2.3
12-05-2021;2.5;4.0
05-05-2021;4.5;4.5
21-10-2020;0.0;0.0
01-10-2020;1.8;1.9
03-08-2020;0.8;1.4
23-07-2020;1.0;1.4
17-07-2020;1.3;1.7
09-07-2020;1.0;1.4
01-07-2020;1.4;2.0
05-06-2020;1.8;2.4
18-05-2020;3.0;4.0
05-10-2019;0.0;0.0
02-10-2019;1.0;1.3
18-06-2019;1.6;2.3
18-10-2018;0.0;0.0
25-09-2018;1.2;1.2
21-09-2018;2.0;2.0
07-09-2018;1.0;1.6
03-09-2018;1.1;1.6
20-08-2018;1.1;1.5
13-08-2018;1.0;1.3
07-08-2018;0.8;1.3
02-08-2018;1.1;1.3
25-07-2018;1.0;1.1
23-07-2018;1.0;1.2
13-07-2018;0.85;1.1
04-07-2018;0.8;1.0
26-06-2018;0.9;1.6
18-06-2018;1.5;2.1
11-06-2018;1.5;1.6
04-06-2018;1.4;2.4
30-05-2018;1.9;2.1
30-10-2017;0.0;0.0
04-10-2017;1.0;1.0
28-09-2017;1.8;1.8
21-09-2017;1.2;1.2
11-09-2017;1.0;1.1
29-08-2017;0.8;1.0
17-08-2017;0.8;0.9
08-08-2017;0.6;1.0
02-08-2017;0.65;1.0
28-07-2017;0.7;1.2
21-07-2017;0.7;1.0
19-07-2017;0.6;1.0
14-07-2017;0.8;1.0
09-07-2017;1.0;1.5
26-06-2017;1.15;1.6
23-06-2017;1.1;1.2
22-06-2017;1.1;1.3
21-06-2017;1.1;1.4
19-06-2017;1.0;1.5
14-06-2017;1.4;1.8
12-06-2017;1.5;1.8
08-06-2017;1.7;2.0
01-06-2017;1.4;2.0
17-01-2017;0.0;0.0
19-09-2016;1.2;1.2
13-09-2016;1.0;1.0
07-09-2016;0.85;1.1
30-08-2016;0.8;1.2
10-08-2016;0.8;0.9
08-08-2016;0.7;1.0
03-08-2016;0.6;0.8
22-07-2016;0.7;1.1
20-07-2016;0.9;1.2
19-07-2016;0.85;1.2
18-07-2016;0.85;1.2
11-07-2016;1.0;1.6
04-07-2016;1.3;1.6
29-06-2016;1.3;1.8
27-06-2016;1.1;1.4
23-06-2016;1.0;1.9
22-06-2016;1.6;1.9
21-06-2016;1.3;2.0
20-06-2016;1.4;2.0
17-06-2016;1.3;2.0
15-06-2016;1.4;2.4
14-06-2016;2.0;2.2
13-06-2016;2.0;2.3
08-06-2016;2.0;2.2
06-06-2016;1.8;2.3
03-06-2016;1.8;2.0
02-06-2016;1.8;2.3
30-05-2016;2.0;2.3
20-10-2015;0.0;0.0
05-10-2015;1.5;1.5
28-09-2015;1.1;1.1
25-09-2015;0.9;1.5
23-09-2015;0.9;1.0
16-09-2015;1.2;1.3
08-09-2015;1.0;1.3
01-09-2015;1.2;1.3
27-08-2015;1.0;1.2
24-08-2015;0.9;1.1
18-08-2015;1.0;1.2
12-08-2015;1.1;1.2
06-08-2015;1.0;1.3
04-08-2015;0.85;1.2
27-07-2015;0.7;0.8
22-07-2015;0.65;1.0
17-07-2015;0.7;0.8
16-07-2015;0.7;1.2
13-07-2015;0.7;1.0
08-07-2015;0.7;1.3
07-07-2015;0.75;1.3
01-07-2015;1.0;1.3
26-06-2015;1.2;1.4
22-06-2015;1.2;1.5
16-06-2015;1.3;1.6
12-06-2015;1.7;1.8
09-06-2015;1.4;1.8
04-06-2015;1.2;1.5
01-06-2015;1.2;1.7
25-05-2015;1.8;2.6
20-05-2015;2.8;4.0
15-05-2015;3.3;4.8
14-05-2015;3.5;4.8
11-05-2015;3.0;4.0
07-05-2015;3.8;6.0
04-05-2015;4.0;6.0
15-04-2015;4.5;5.3
10-04-2015;4.5;5.3
07-04-2015;4.5;5.5
01-04-2015;4.5;4.5
24-03-2015;4.0;4.0
20-10-2014;0.0;0.0
14-10-2014;1.5;1.6
06-10-2014;1.2;1.5
25-09-2014;1.3;1.6
19-09-2014;1.1;1.4
11-09-2014;1.0;1.2
08-09-2014;0.9;1.1
20-08-2014;0.7;1.0
18-08-2014;0.4;0.9
11-08-2014;0.4;1.2
04-08-2014;0.6;0.7
30-07-2014;0.6;0.9
25-07-2014;0.6;0.85
21-07-2014;0.8;1.0
15-07-2014;1.0;1.3
07-07-2014;1.1;1.3
03-07-2014;0.8;1.1
01-07-2014;0.8;1.3
24-06-2014;1.0;1.0
12-06-2014;1.8;1.8
29-05-2014;2.0;2.2
26-05-2014;2.2;2.3
22-05-2014;2.5;2.5
19-05-2014;2.1;2.4
13-05-2014;2.2;2.2
07-05-2014;3.0;3.0
30-04-2014;4.0;4.0
29-04-2014;4.0;4.0
28-04-2014;0.0;0.0
25-04-2014;0.0;0.0
24-04-2014;0.0;0.0
23-04-2014;0.0;0.0
22-04-2014;0.0;0.0
17-04-2014;0.0;0.0
16-04-2014;0.0;0.0
15-04-2014;0.0;0.0
14-04-2014;0.0;0.0
03-04-2014;0.0;0.0
28-03-2014;4.0;4.0
11-03-2014;5.0;5.0
21-02-2014;0.0;0.0
12-02-2014;5.0;5.0
