Date;Price min;Price max
04-01-2022;4.6;4.8
29-11-2021;4.0;4.6
07-07-2021;4.0;4.2
05-07-2021;4.2;4.2
02-07-2021;4.0;4.2
30-06-2021;4.2;4.4
29-06-2021;3.0;4.5
13-12-2019;3.0;4.5
02-10-2019;3.4;4.5
18-06-2019;3.0;4.2
04-06-2019;4.0;4.2
21-02-2019;3.0;4.4
10-05-2017;3.0;3.7
24-04-2017;2.0;3.7
09-01-2017;3.0;3.7
29-12-2016;3.0;4.5
22-12-2016;2.3;3.5
18-11-2016;2.3;3.0
17-10-2016;3.3;3.3
26-09-2016;3.0;3.5
03-08-2016;3.0;3.5
23-06-2016;3.0;3.6
20-06-2016;3.0;5.0
13-06-2016;3.0;3.6
25-04-2016;3.0;3.0
08-12-2015;3.0;3.5
23-11-2015;3.0;3.0
28-10-2015;2.8;3.0
16-09-2015;3.0;3.0
22-06-2015;3.0;3.3
09-06-2015;2.8;3.3
15-05-2015;2.8;3.0
15-04-2015;3.0;3.5
28-10-2014;3.0;3.5
01-07-2014;3.0;3.2
14-05-2014;3.0;3.6
30-04-2014;3.0;4.0
29-04-2014;3.0;4.0
28-04-2014;3.0;4.0
25-04-2014;3.0;4.0
24-04-2014;3.0;4.0
23-04-2014;3.0;4.0
22-04-2014;3.8;4.0
17-04-2014;3.0;4.0
16-04-2014;3.0;4.0
15-04-2014;3.0;4.0
14-04-2014;3.8;4.0
04-03-2014;3.0;3.0
03-01-2014;3.0;3.2
27-12-2013;3.2;3.5
24-12-2013;3.2;3.2
23-12-2013;3.2;3.2
20-12-2013;3.0;3.2
19-12-2013;3.0;3.2
18-12-2013;3.0;3.2
17-12-2013;3.0;3.5
16-12-2013;3.0;3.5
05-12-2013;3.0;3.5
18-11-2013;3.0;3.2
28-10-2013;3.0;3.2
25-10-2013;3.0;3.2
23-10-2013;3.0;3.2
21-10-2013;3.0;3.2
18-10-2013;3.0;3.0
17-10-2013;3.0;3.0
16-10-2013;3.0;3.0
09-10-2013;3.0;4.5
20-09-2013;3.0;3.2
30-07-2013;3.0;3.6
26-07-2013;3.0;3.2
08-07-2013;3.2;3.6
28-06-2013;2.8;3.6
18-06-2013;2.8;3.0
10-06-2013;2.8;3.5
29-05-2013;2.8;3.4
28-05-2013;3.0;3.4
17-05-2013;2.8;3.2
10-04-2013;2.8;3.0
08-04-2013;2.8;3.5
13-03-2013;3.2;3.5
25-02-2013;3.0;3.5
22-02-2013;3.0;3.2
04-02-2013;3.0;3.6
16-01-2013;3.0;4.0
14-01-2013;3.0;3.6
02-01-2013;3.0;3.0
