Date;Price min;Price max
03-11-2021;0.0;0.0
11-10-2021;2.0;2.0
08-09-2021;2.0;2.8
02-09-2021;1.0;2.8
16-08-2021;1.0;3.0
06-08-2021;1.4;3.0
02-08-2021;2.2;3.1
26-07-2021;2.2;3.2
23-07-2021;2.6;3.2
21-07-2021;2.4;3.2
14-07-2021;2.0;3.2
12-07-2021;1.9;2.7
07-07-2021;2.1;2.8
05-07-2021;2.2;2.8
02-07-2021;1.6;2.6
01-07-2021;2.2;2.3
25-06-2021;2.3;2.8
14-06-2021;2.3;2.4
10-06-2021;1.9;3.0
08-06-2021;1.9;4.5
03-06-2021;3.0;3.9
26-05-2021;3.3;5.0
17-05-2021;4.5;5.5
05-05-2021;6.0;6.0
21-10-2020;0.0;0.0
01-10-2020;2.0;2.8
01-09-2020;1.6;1.8
13-08-2020;1.0;1.8
03-08-2020;1.4;2.0
22-07-2020;1.4;1.6
17-07-2020;1.2;2.0
06-07-2020;1.3;2.0
03-07-2020;1.4;2.1
20-05-2020;5.0;6.0
11-05-2020;1.6;3.0
05-10-2019;0.0;0.0
02-10-2019;1.5;2.0
18-06-2019;1.1;1.7
28-05-2019;3.6;4.3
18-10-2018;0.0;0.0
21-09-2018;1.6;1.7
03-09-2018;1.5;1.8
30-08-2018;0.8;1.8
27-08-2018;0.9;1.8
23-08-2018;1.0;1.7
20-08-2018;0.9;1.8
17-08-2018;0.8;1.5
13-08-2018;1.2;1.5
07-08-2018;1.1;1.5
02-08-2018;0.8;1.5
30-07-2018;1.0;1.8
25-07-2018;1.2;1.5
23-07-2018;0.8;2.0
18-07-2018;1.2;1.6
16-07-2018;0.9;1.7
13-07-2018;1.2;1.7
04-07-2018;1.2;1.6
26-06-2018;1.2;1.9
11-06-2018;1.2;1.7
04-06-2018;1.2;2.0
30-05-2018;2.8;2.8
30-10-2017;0.0;0.0
10-10-2017;1.1;1.3
04-10-2017;1.1;1.8
25-09-2017;1.0;1.8
18-09-2017;1.0;2.0
29-08-2017;0.8;1.4
23-08-2017;0.8;1.5
17-08-2017;0.5;1.3
10-08-2017;0.5;1.4
08-08-2017;1.0;1.5
25-07-2017;1.0;1.3
21-07-2017;0.8;1.5
19-07-2017;1.0;1.5
09-07-2017;1.1;1.5
28-06-2017;1.2;2.2
26-06-2017;0.8;2.2
22-06-2017;1.0;1.5
21-06-2017;1.1;1.5
19-06-2017;1.3;1.4
14-06-2017;1.2;1.9
12-06-2017;1.2;1.8
08-06-2017;1.5;2.2
01-06-2017;1.8;2.2
17-01-2017;0.0;0.0
17-10-2016;1.6;2.3
06-10-2016;2.0;2.0
04-10-2016;1.5;2.4
19-09-2016;1.6;2.0
13-09-2016;1.4;1.9
30-08-2016;1.3;1.7
08-08-2016;1.0;1.6
03-08-2016;1.1;1.6
26-07-2016;0.5;1.9
20-07-2016;0.8;2.5
19-07-2016;0.9;1.9
18-07-2016;0.9;2.0
14-07-2016;1.0;2.0
11-07-2016;1.0;1.8
07-07-2016;1.3;1.8
06-07-2016;1.3;2.0
04-07-2016;1.6;2.1
01-07-2016;1.6;2.7
29-06-2016;1.3;1.8
24-06-2016;1.3;1.4
23-06-2016;1.3;1.3
22-06-2016;1.2;1.4
21-06-2016;1.3;1.6
15-06-2016;1.4;1.6
14-06-2016;1.0;1.3
09-06-2016;1.2;2.0
07-06-2016;1.2;2.4
03-06-2016;1.3;2.4
02-06-2016;1.5;2.6
30-05-2016;1.1;1.9
28-10-2015;0.0;0.0
20-10-2015;1.7;1.7
28-09-2015;1.2;2.0
25-09-2015;1.2;2.4
16-09-2015;1.5;2.0
04-09-2015;0.6;2.3
24-08-2015;1.0;1.3
18-08-2015;0.7;1.2
12-08-2015;0.9;1.0
06-08-2015;0.6;1.2
04-08-2015;0.8;1.2
27-07-2015;1.0;1.5
22-07-2015;0.9;1.4
16-07-2015;1.0;1.3
13-07-2015;0.9;1.3
08-07-2015;0.9;1.6
01-07-2015;1.0;1.8
26-06-2015;1.0;2.0
22-06-2015;1.0;3.0
19-06-2015;1.0;2.0
16-06-2015;1.2;3.5
12-06-2015;1.6;2.4
10-06-2015;1.2;2.2
09-06-2015;1.7;2.3
04-06-2015;3.0;4.0
01-06-2015;3.0;3.0
28-05-2015;3.0;5.0
26-05-2015;5.0;5.5
20-05-2015;5.5;5.5
11-05-2015;6.0;6.0
07-05-2015;6.5;6.5
17-04-2015;6.0;7.0
15-04-2015;6.0;6.0
24-03-2015;6.0;7.0
20-10-2014;0.0;0.0
06-10-2014;2.3;2.3
25-09-2014;1.6;2.5
19-09-2014;1.6;2.0
15-09-2014;1.5;2.0
11-09-2014;1.0;2.0
08-09-2014;1.0;1.6
21-08-2014;1.0;1.2
20-08-2014;0.8;1.2
11-08-2014;0.6;1.2
04-08-2014;0.8;1.2
30-07-2014;0.8;1.0
25-07-2014;0.8;1.1
21-07-2014;1.0;1.3
07-07-2014;1.1;1.4
03-07-2014;0.8;1.3
01-07-2014;1.0;1.5
24-06-2014;1.2;1.6
12-06-2014;1.2;1.5
29-05-2014;1.8;3.0
27-05-2014;2.3;3.0
26-05-2014;2.3;6.0
22-05-2014;4.5;4.5
19-05-2014;4.0;5.0
12-05-2014;6.0;7.0
07-05-2014;7.0;7.0
30-04-2014;8.0;8.0
29-04-2014;8.0;8.0
28-04-2014;0.0;0.0
25-04-2014;0.0;0.0
24-04-2014;0.0;0.0
23-04-2014;0.0;0.0
22-04-2014;0.0;0.0
17-04-2014;0.0;0.0
16-04-2014;0.0;0.0
15-04-2014;0.0;0.0
14-04-2014;0.0;0.0
