Date, Price min, Price max
08-02-2022, 2.4, 3.3
17-01-2022, 2.0, 2.5
11-01-2022, 2.4, 2.6
04-01-2022, 2.4, 3.2
01-12-2021, 2.6, 3.5
29-11-2021, 2.4, 3.5
25-11-2021, 2.3, 2.8
22-11-2021, 2.0, 2.8
15-11-2021, 2.0, 3.0
03-11-2021, 2.2, 2.8
11-10-2021, 2.0, 3.0
08-09-2021, 1.2, 2.2
02-09-2021, 1.6, 2.2
20-08-2021, 1.5, 3.5
06-08-2021, 2.0, 4.6
02-08-2021, 2.8, 4.6
23-07-2021, 1.8, 3.4
21-07-2021, 1.8, 2.8
14-07-2021, 1.8, 4.6
07-07-2021, 2.6, 4.6
05-07-2021, 2.6, 3.0
01-07-2021, 2.6, 3.5
29-06-2021, 2.5, 3.0
14-06-2021, 2.5, 3.2
03-06-2021, 2.6, 4.5
19-04-2021, 3.3, 5.0
06-04-2021, 3.0, 3.3
02-03-2021, 2.0, 2.6
02-02-2021, 2.3, 2.6
12-01-2021, 2.0, 2.6
04-01-2021, 2.2, 2.6
14-12-2020, 1.8, 2.4
07-12-2020, 1.9, 2.5
04-11-2020, 1.8, 2.4
21-10-2020, 2.2, 2.8
01-10-2020, 2.0, 3.0
01-09-2020, 1.3, 2.0
03-08-2020, 1.4, 3.2
20-07-2020, 2.0, 2.2
08-07-2020, 2.8, 3.0
01-06-2020, 2.5, 3.5
13-12-2019, 2.2, 2.9
05-10-2019, 1.6, 2.8
02-10-2019, 1.6, 2.2
18-06-2019, 2.4, 3.0
08-05-2019, 2.6, 3.3
05-04-2019, 2.3, 3.0
27-03-2019, 2.3, 3.5
21-02-2019, 2.2, 2.6
15-01-2019, 1.3, 2.8
26-11-2018, 1.5, 2.6
15-11-2018, 1.5, 3.3
23-10-2018, 1.2, 2.0
18-10-2018, 1.3, 2.0
08-10-2018, 1.5, 2.0
21-09-2018, 1.5, 2.2
14-09-2018, 1.6, 2.2
10-09-2018, 1.2, 2.2
07-09-2018, 1.6, 2.2
03-09-2018, 1.2, 2.0
30-08-2018, 1.4, 2.2
27-08-2018, 1.3, 2.6
15-08-2018, 1.2, 2.3
09-08-2018, 1.2, 2.4
07-08-2018, 1.2, 2.3
02-08-2018, 1.2, 2.2
30-07-2018, 1.8, 2.6
25-07-2018, 1.8, 2.2
23-07-2018, 1.4, 2.2
18-07-2018, 1.8, 2.8
16-07-2018, 1.8, 3.5
09-07-2018, 1.8, 2.5
04-07-2018, 1.6, 2.5
18-06-2018, 2.0, 2.7
11-06-2018, 2.5, 2.7
04-06-2018, 2.4, 2.7
08-05-2018, 2.3, 3.0
01-05-2018, 2.5, 3.0
20-04-2018, 2.3, 3.0
16-04-2018, 2.5, 3.0
31-03-2018, 2.4, 2.8
20-03-2018, 2.4, 3.5
07-03-2018, 2.4, 3.0
26-02-2018, 2.0, 3.0
06-02-2018, 1.8, 3.0
23-01-2018, 2.3, 3.0
18-01-2018, 2.3, 2.4
09-01-2018, 2.3, 2.6
28-12-2017, 1.5, 2.3
01-12-2017, 1.5, 2.3
24-11-2017, 1.5, 2.6
16-11-2017, 1.0, 2.6
07-11-2017, 1.2, 2.6
30-10-2017, 1.2, 2.4
10-10-2017, 1.5, 2.1
04-10-2017, 1.5, 1.9
28-09-2017, 1.6, 2.5
25-09-2017, 1.3, 2.2
21-09-2017, 0.9, 1.8
18-09-2017, 1.2, 2.4
11-09-2017, 1.2, 2.4
05-09-2017, 1.4, 2.0
29-08-2017, 1.5, 2.0
23-08-2017, 1.8, 2.2
17-08-2017, 1.6, 2.0
08-08-2017, 1.8, 2.4
02-08-2017, 1.2, 2.2
25-07-2017, 1.5, 3.0
19-07-2017, 1.5, 3.5
14-07-2017, 1.4, 4.0
09-07-2017, 2.2, 4.0
28-06-2017, 2.2, 3.5
22-06-2017, 2.4, 4.0
18-06-2017, 2.6, 3.5
14-06-2017, 2.6, 4.0
08-06-2017, 3.0, 4.0
01-06-2017, 3.0, 3.5
05-05-2017, 3.0, 3.5
13-04-2017, 2.8, 4.0
07-04-2017, 3.3, 4.0
05-04-2017, 2.8, 3.7
30-03-2017, 2.8, 3.7
06-03-2017, 2.6, 3.4
09-02-2017, 2.5, 3.0
27-01-2017, 2.3, 3.0
23-01-2017, 2.2, 3.0
17-01-2017, 2.2, 3.0
09-01-2017, 2.0, 2.4
05-01-2017, 2.0, 2.5
03-01-2017, 2.0, 2.4
29-12-2016, 2.0, 2.6
22-12-2016, 1.2, 2.6
12-12-2016, 1.4, 2.6
18-11-2016, 1.4, 2.6
15-11-2016, 1.0, 2.7
08-11-2016, 1.5, 2.6
17-10-2016, 1.4, 2.6
06-10-2016, 1.4, 2.6
04-10-2016, 1.4, 2.4
19-09-2016, 1.6, 2.7
13-09-2016, 1.3, 2.0
07-09-2016, 1.4, 2.1
30-08-2016, 1.0, 2.2
10-08-2016, 1.4, 3.2
08-08-2016, 1.3, 2.4
26-07-2016, 1.0, 3.0
22-07-2016, 1.6, 3.3
20-07-2016, 2.0, 2.4
19-07-2016, 1.0, 2.4
18-07-2016, 2.2, 2.6
14-07-2016, 2.0, 2.6
11-07-2016, 1.5, 2.6
07-07-2016, 1.0, 2.6
06-07-2016, 1.0, 2.8
04-07-2016, 1.5, 4.0
01-07-2016, 2.0, 2.8
29-06-2016, 2.8, 4.8
21-06-2016, 2.0, 4.0
20-06-2016, 2.0, 3.5
15-06-2016, 2.0, 3.0
14-06-2016, 2.1, 3.0
13-06-2016, 2.2, 3.9
09-06-2016, 2.1, 4.5
07-06-2016, 2.1, 4.7
06-06-2016, 2.1, 3.7
01-06-2016, 2.1, 3.6
30-05-2016, 2.8, 3.0
09-05-2016, 1.0, 4.7
25-04-2016, 2.0, 4.6
15-04-2016, 1.0, 4.8
12-04-2016, 1.0, 4.5
08-03-2016, 2.0, 4.5
01-03-2016, 1.7, 4.5
22-02-2016, 2.0, 2.9
16-02-2016, 1.3, 2.9
22-01-2016, 1.5, 2.8
19-01-2016, 1.5, 2.6
12-01-2016, 1.5, 2.5
04-01-2016, 1.5, 2.0
16-12-2015, 1.2, 2.0
14-12-2015, 1.4, 2.0
08-12-2015, 1.0, 2.2
01-12-2015, 1.2, 2.2
04-11-2015, 1.6, 2.0
28-10-2015, 1.5, 2.2
20-10-2015, 1.5, 2.0
05-10-2015, 1.7, 2.4
28-09-2015, 1.5, 2.3
25-09-2015, 1.5, 2.4
16-09-2015, 1.5, 2.2
08-09-2015, 1.5, 2.0
04-09-2015, 1.5, 3.3
27-08-2015, 1.7, 2.0
25-08-2015, 1.0, 2.0
18-08-2015, 1.5, 4.2
10-08-2015, 1.7, 2.0
04-08-2015, 1.3, 2.4
27-07-2015, 1.3, 4.2
22-07-2015, 1.7, 4.2
16-07-2015, 1.8, 4.2
13-07-2015, 1.3, 4.2
07-07-2015, 2.0, 3.5
01-07-2015, 2.2, 4.0
26-06-2015, 3.0, 3.3
09-06-2015, 3.0, 4.0
01-06-2015, 3.2, 4.0
28-05-2015, 2.9, 4.0
20-05-2015, 3.0, 4.0
07-05-2015, 1.8, 4.0
04-05-2015, 3.0, 4.0
21-04-2015, 1.8, 3.9
16-04-2015, 2.8, 3.7
15-04-2015, 2.4, 3.5
23-03-2015, 2.4, 3.7
18-03-2015, 2.0, 3.7
11-03-2015, 2.4, 3.7
04-03-2015, 1.6, 3.5
06-02-2015, 1.3, 3.5
13-01-2015, 1.5, 3.5
06-01-2015, 1.5, 3.0
18-12-2014, 1.4, 2.1
09-12-2014, 1.2, 2.0
05-12-2014, 1.2, 2.1
01-12-2014, 1.7, 2.0
17-11-2014, 1.4, 2.0
14-11-2014, 1.4, 1.7
30-10-2014, 1.2, 2.0
20-10-2014, 1.4, 2.5
14-10-2014, 1.0, 2.5
25-09-2014, 1.2, 2.0
08-09-2014, 1.4, 2.0
26-08-2014, 1.0, 1.6
21-08-2014, 1.2, 2.0
20-08-2014, 1.2, 2.2
18-08-2014, 1.4, 1.9
04-08-2014, 1.5, 3.0
30-07-2014, 1.7, 1.8
25-07-2014, 1.6, 2.0
21-07-2014, 1.6, 2.0
07-07-2014, 2.0, 2.6
01-07-2014, 2.0, 2.9
24-06-2014, 2.5, 2.9
13-06-2014, 3.0, 3.6
28-05-2014, 3.0, 3.1
26-05-2014, 3.0, 5.0
19-05-2014, 3.0, 3.2
13-05-2014, 3.0, 3.5
12-05-2014, 3.1, 3.2
07-05-2014, 3.0, 3.5
30-04-2014, 2.0, 3.0
29-04-2014, 2.0, 3.0
28-04-2014, 2.0, 3.0
25-04-2014, 2.0, 3.0
24-04-2014, 2.0, 3.0
23-04-2014, 2.0, 3.0
22-04-2014, 2.0, 3.0
17-04-2014, 2.0, 3.0
16-04-2014, 1.9, 2.0
15-04-2014, 2.0, 3.0
14-04-2014, 2.0, 3.0
09-04-2014, 2.0, 3.5
01-04-2014, 1.6, 3.0
28-03-2014, 2.0, 3.0
17-03-2014, 2.0, 2.0
05-03-2014, 1.2, 2.0
04-03-2014, 1.5, 2.0
26-02-2014, 1.4, 4.0
24-02-2014, 2.4, 4.0
21-02-2014, 1.0, 2.0
19-02-2014, 2.5, 2.8
14-02-2014, 1.0, 4.0
07-02-2014, 2.3, 2.8
05-02-2014, 2.3, 4.0
03-02-2014, 2.5, 4.0
31-01-2014, 1.8, 4.0
30-01-2014, 2.0, 4.5
27-01-2014, 2.5, 4.0
24-01-2014, 2.0, 3.2
08-01-2014, 1.6, 4.0
06-01-2014, 1.6, 2.7
03-01-2014, 2.8, 4.0
