Date;Price min;Price max
14-02-2022;3.3;4.2
11-01-2022;2.8;3.3
10-01-2022;3.0;3.3
04-01-2022;2.5;3.5
29-11-2021;2.2;3.0
15-11-2021;2.6;3.5
03-11-2021;2.6;3.2
11-10-2021;2.2;2.9
02-09-2021;1.7;2.6
23-08-2021;1.5;2.5
09-08-2021;2.0;3.0
02-08-2021;1.2;3.5
12-07-2021;1.2;2.6
07-07-2021;1.3;3.0
05-07-2021;1.4;2.6
01-07-2021;2.0;3.0
29-06-2021;1.7;3.0
22-06-2021;2.0;3.1
14-06-2021;2.0;4.5
21-05-2021;1.6;3.8
17-05-2021;1.6;2.8
11-05-2021;2.0;4.5
14-04-2021;2.0;4.0
06-04-2021;3.5;4.6
16-03-2021;3.5;3.8
02-03-2021;3.2;3.8
02-02-2021;3.0;3.7
04-01-2021;2.4;3.5
14-12-2020;2.5;3.0
03-12-2020;2.1;3.3
03-11-2020;2.0;3.4
01-10-2020;1.9;4.0
01-09-2020;1.5;2.5
19-08-2020;2.0;3.8
03-08-2020;1.6;3.5
29-07-2020;1.2;3.0
17-07-2020;1.2;2.5
08-07-2020;1.4;3.4
06-07-2020;1.3;3.0
01-07-2020;1.8;2.6
11-06-2020;1.9;3.5
29-05-2020;2.0;3.2
20-03-2020;3.2;3.5
05-03-2020;2.8;3.8
10-02-2020;3.3;4.0
13-12-2019;3.2;3.6
05-10-2019;2.0;2.8
02-10-2019;2.4;3.1
18-06-2019;1.4;3.0
04-06-2019;2.0;2.6
20-05-2019;2.0;3.5
08-05-2019;3.2;4.5
05-04-2019;3.5;4.6
27-03-2019;3.7;4.5
13-03-2019;3.5;4.1
21-02-2019;2.8;3.5
30-01-2019;3.5;3.8
13-12-2018;3.3;3.5
26-11-2018;2.3;3.5
15-11-2018;2.3;3.7
06-11-2018;2.3;4.0
23-10-2018;2.6;2.8
18-10-2018;2.4;3.1
25-09-2018;2.8;3.5
21-09-2018;3.2;3.5
14-09-2018;1.4;3.4
10-09-2018;2.8;3.4
03-09-2018;1.5;3.3
30-08-2018;1.7;2.6
27-08-2018;1.9;2.6
23-08-2018;2.0;2.6
20-08-2018;1.5;2.5
17-08-2018;1.3;3.2
15-08-2018;1.6;2.6
13-08-2018;1.8;2.8
09-08-2018;1.6;2.8
07-08-2018;1.3;2.8
02-08-2018;1.3;2.0
25-07-2018;0.8;2.0
18-07-2018;1.0;2.2
16-07-2018;1.3;2.2
13-07-2018;1.3;2.6
09-07-2018;1.4;2.5
04-07-2018;1.5;2.1
26-06-2018;1.4;3.0
18-06-2018;1.8;3.5
11-06-2018;1.7;3.5
07-06-2018;2.4;4.3
04-06-2018;1.8;4.4
30-05-2018;2.3;3.0
08-05-2018;2.6;3.6
01-05-2018;1.9;3.5
23-04-2018;2.4;3.8
20-04-2018;3.0;3.9
16-04-2018;3.3;3.8
04-04-2018;3.3;4.0
31-03-2018;2.3;4.3
23-03-2018;3.0;3.4
20-03-2018;2.9;3.9
13-03-2018;3.2;3.6
07-03-2018;2.8;3.6
26-02-2018;2.8;3.8
21-02-2018;2.6;3.8
15-02-2018;3.0;3.8
06-02-2018;1.6;3.8
30-01-2018;3.2;3.8
23-01-2018;3.0;3.8
12-01-2018;2.8;3.4
09-01-2018;2.4;3.6
28-12-2017;2.4;4.0
15-12-2017;2.8;3.5
11-12-2017;2.4;3.4
01-12-2017;2.7;3.0
24-11-2017;2.0;3.0
16-11-2017;2.0;3.0
10-11-2017;1.3;3.0
07-11-2017;1.0;3.0
30-10-2017;2.5;3.3
10-10-2017;1.8;3.8
04-10-2017;2.8;3.3
28-09-2017;2.5;3.0
25-09-2017;2.2;3.0
21-09-2017;2.3;3.0
18-09-2017;2.2;3.0
11-09-2017;2.5;3.0
05-09-2017;0.5;1.8
29-08-2017;0.8;1.9
23-08-2017;1.3;2.0
17-08-2017;0.5;1.8
08-08-2017;0.5;2.2
02-08-2017;1.6;2.2
28-07-2017;1.8;2.3
25-07-2017;0.5;2.6
21-07-2017;1.8;2.6
19-07-2017;2.0;2.5
14-07-2017;1.6;2.5
09-07-2017;1.5;3.0
28-06-2017;1.0;3.5
26-06-2017;2.0;3.5
22-06-2017;1.5;2.5
21-06-2017;1.5;3.0
19-06-2017;1.8;3.0
13-06-2017;2.1;3.5
01-06-2017;2.5;4.0
15-05-2017;2.0;4.0
05-05-2017;3.5;4.0
28-04-2017;3.2;4.7
24-04-2017;3.4;4.7
13-04-2017;3.8;4.5
05-04-2017;2.7;4.5
30-03-2017;3.2;3.5
14-03-2017;2.1;2.8
06-03-2017;2.5;2.6
21-02-2017;2.4;3.0
16-02-2017;2.8;3.5
09-02-2017;3.0;3.0
02-02-2017;3.0;3.8
01-02-2017;3.0;3.8
27-01-2017;3.7;4.0
23-01-2017;3.5;4.0
19-01-2017;3.8;4.0
17-01-2017;3.6;4.0
09-01-2017;2.0;4.0
05-01-2017;2.0;3.0
29-12-2016;2.8;3.0
22-12-2016;2.7;3.4
12-12-2016;2.5;2.8
08-11-2016;2.2;2.5
17-10-2016;1.9;2.6
06-10-2016;2.0;2.2
04-10-2016;1.9;2.2
26-09-2016;1.8;2.2
19-09-2016;1.4;2.0
13-09-2016;1.3;2.5
07-09-2016;1.2;2.5
30-08-2016;1.6;2.4
10-08-2016;1.8;2.6
08-08-2016;1.8;2.6
03-08-2016;1.2;2.6
26-07-2016;1.2;2.5
22-07-2016;2.0;2.8
20-07-2016;2.2;2.8
19-07-2016;1.4;2.8
18-07-2016;2.2;2.8
14-07-2016;1.4;2.1
11-07-2016;1.3;2.0
07-07-2016;1.0;1.3
06-07-2016;1.2;2.2
04-07-2016;1.5;2.2
01-07-2016;1.6;2.8
29-06-2016;2.0;2.8
24-06-2016;2.2;3.0
22-06-2016;2.1;3.0
15-06-2016;2.0;3.0
13-06-2016;2.0;2.7
09-06-2016;2.5;2.8
08-06-2016;1.8;2.8
02-06-2016;2.0;3.4
