Date;Price min;Price max
23-02-2022;0.8;1.1
10-01-2022;0.6;1.2
04-01-2022;0.6;1.0
03-11-2021;0.8;1.1
11-10-2021;0.7;0.9
02-09-2021;0.5;1.0
02-08-2021;0.6;0.8
16-07-2021;0.6;0.75
14-07-2021;0.6;0.8
01-07-2021;0.65;0.8
14-06-2021;0.65;1.0
03-06-2021;0.5;1.0
19-04-2021;0.5;0.95
24-03-2021;0.4;0.65
02-02-2021;0.5;0.65
12-01-2021;0.5;1.0
14-12-2020;0.5;0.7
03-12-2020;0.5;0.8
03-11-2020;0.5;1.0
19-10-2020;0.5;0.75
01-10-2020;0.6;0.75
01-09-2020;0.55;0.8
29-07-2020;0.6;0.7
17-07-2020;0.3;0.7
08-07-2020;0.4;0.7
06-07-2020;0.4;0.8
03-07-2020;0.4;0.8
11-06-2020;0.5;0.8
29-05-2020;0.7;0.8
01-04-2020;1.0;1.2
20-03-2020;0.85;1.1
05-03-2020;0.8;0.85
10-02-2020;0.85;0.95
13-12-2019;0.8;0.85
02-10-2019;0.7;0.8
10-09-2019;0.6;1.0
16-08-2019;0.8;1.4
18-06-2019;1.0;1.4
04-06-2019;1.1;1.5
08-05-2019;1.4;1.8
21-02-2019;1.0;1.35
15-01-2019;0.9;1.0
13-12-2018;0.85;1.0
26-11-2018;0.8;0.85
15-11-2018;0.75;0.8
23-10-2018;0.7;1.3
18-10-2018;0.7;0.8
25-09-2018;0.7;1.3
07-09-2018;0.7;1.1
03-09-2018;0.7;0.8
30-08-2018;0.6;0.8
23-08-2018;0.65;0.8
17-08-2018;0.7;0.9
07-08-2018;0.65;0.85
02-08-2018;0.7;0.85
13-07-2018;0.7;0.8
09-07-2018;0.7;1.1
04-07-2018;0.85;1.0
18-06-2018;0.7;0.8
11-06-2018;0.65;0.8
30-05-2018;0.55;0.6
01-05-2018;0.5;0.9
20-04-2018;0.6;1.6
16-04-2018;0.5;1.0
10-04-2018;0.55;1.0
04-04-2018;0.5;1.0
28-12-2017;0.5;0.6
30-10-2017;0.5;0.65
10-10-2017;0.55;0.65
04-10-2017;0.6;0.9
21-09-2017;0.5;0.65
10-08-2017;0.5;0.7
08-08-2017;0.55;0.7
02-08-2017;0.6;0.7
28-07-2017;0.5;0.7
19-07-2017;0.55;0.7
09-07-2017;0.5;0.7
28-06-2017;0.65;1.0
26-06-2017;0.6;1.2
22-06-2017;0.7;1.2
21-06-2017;0.75;1.2
19-06-2017;0.8;1.2
01-06-2017;0.8;1.0
15-05-2017;0.8;0.9
05-05-2017;0.75;0.9
28-04-2017;0.7;0.9
24-04-2017;0.7;0.85
13-04-2017;0.75;0.85
05-04-2017;0.75;1.2
30-03-2017;0.7;1.2
06-03-2017;0.75;1.2
14-02-2017;0.75;0.9
06-02-2017;0.75;0.85
01-02-2017;0.75;0.8
27-01-2017;0.6;0.85
19-01-2017;0.7;0.85
17-01-2017;0.65;0.75
09-01-2017;0.6;0.7
22-12-2016;0.6;0.7
08-11-2016;0.6;0.65
17-10-2016;0.6;0.7
11-10-2016;0.55;0.7
06-10-2016;0.6;0.7
04-10-2016;0.5;0.75
13-09-2016;0.6;0.7
10-08-2016;0.6;0.7
03-08-2016;0.5;0.7
20-07-2016;0.5;0.7
18-07-2016;0.6;0.7
14-07-2016;0.5;0.65
06-07-2016;0.65;0.7
04-07-2016;0.5;0.75
20-06-2016;0.5;0.7
15-06-2016;0.6;0.7
13-06-2016;0.6;0.9
03-06-2016;0.7;1.0
