Date;Price min;Price max
23-02-2022;0.6;1.0
14-02-2022;0.8;0.9
04-01-2022;0.5;0.8
03-11-2021;0.6;0.8
23-08-2021;1.2;1.7
02-08-2021;1.3;1.7
01-04-2021;0.0;0.0
02-03-2021;1.5;1.5
04-01-2021;0.5;0.7
03-12-2020;0.55;0.6
01-10-2020;0.6;0.8
01-09-2020;0.8;1.0
01-07-2020;0.0;0.0
05-10-2019;0.5;0.6
02-10-2019;0.5;0.9
05-04-2019;0.0;0.0
21-02-2019;0.8;0.8
15-01-2019;0.4;0.6
23-10-2018;0.5;0.6
21-09-2018;0.6;1.0
04-07-2018;1.0;1.0
08-05-2018;0.0;0.0
20-04-2018;0.8;1.0
23-03-2018;0.7;0.7
13-03-2018;0.7;0.8
07-03-2018;0.6;0.7
06-02-2018;0.5;0.8
18-01-2018;0.5;0.6
28-12-2017;0.5;0.65
11-12-2017;0.5;0.55
07-11-2017;0.5;0.6
30-10-2017;0.5;0.55
04-10-2017;0.5;0.6
28-09-2017;0.5;0.7
21-09-2017;0.5;0.75
18-09-2017;0.6;0.75
11-09-2017;0.5;1.0
30-03-2017;1.0;1.0
21-02-2017;0.8;0.9
16-02-2017;0.65;0.9
19-01-2017;0.5;0.6
09-01-2017;0.5;0.6
22-12-2016;0.4;0.65
12-12-2016;0.4;0.65
18-11-2016;0.3;0.55
15-11-2016;0.4;0.55
06-10-2016;0.5;0.7
12-04-2016;0.0;0.0
30-03-2016;0.8;1.0
24-03-2016;0.8;0.8
01-03-2016;0.6;0.6
22-02-2016;0.6;0.7
09-02-2016;0.5;0.7
19-01-2016;0.5;0.6
12-01-2016;0.45;0.6
04-01-2016;0.5;0.6
08-12-2015;0.5;0.65
01-12-2015;0.5;0.8
23-11-2015;0.6;0.6
04-11-2015;0.6;0.8
28-10-2015;0.6;0.6
20-10-2015;0.5;0.8
05-10-2015;0.8;0.8
28-09-2015;0.6;0.8
16-09-2015;0.8;1.0
13-08-2015;0.8;0.8
21-04-2015;0.0;0.0
25-03-2015;1.7;1.7
11-03-2015;0.0;0.0
16-01-2015;1.0;1.2
13-01-2015;0.85;1.0
06-01-2015;0.85;1.2
30-12-2014;1.2;1.2
18-12-2014;0.5;0.5
27-11-2014;0.45;0.55
28-10-2014;0.45;0.5
06-10-2014;0.5;0.5
19-09-2014;0.5;0.7
21-08-2014;0.6;0.7
21-07-2014;0.8;0.8
30-04-2014;0.0;0.0
29-04-2014;0.0;0.0
28-04-2014;0.0;0.0
25-04-2014;0.0;0.0
24-04-2014;0.0;0.0
23-04-2014;0.0;0.0
22-04-2014;0.0;0.0
17-04-2014;0.0;0.0
16-04-2014;0.0;0.0
15-04-2014;0.0;0.0
14-04-2014;0.0;0.0
19-03-2014;0.0;0.0
13-03-2014;0.3;0.6
04-03-2014;0.4;0.6
24-02-2014;0.5;0.6
20-01-2014;0.3;0.4
17-01-2014;0.3;0.5
08-01-2014;0.4;0.45
27-12-2013;0.4;0.5
24-12-2013;0.4;0.5
23-12-2013;0.4;0.5
20-12-2013;0.4;0.5
19-12-2013;0.4;0.5
18-12-2013;0.4;0.5
17-12-2013;0.4;0.5
16-12-2013;0.4;0.5
27-11-2013;0.4;0.5
25-11-2013;0.27;0.5
18-11-2013;0.4;0.5
15-11-2013;0.5;0.7
12-11-2013;0.4;0.45
28-10-2013;0.4;0.5
25-10-2013;0.4;0.5
23-10-2013;0.4;0.5
21-10-2013;0.4;0.5
18-10-2013;0.4;0.5
17-10-2013;0.4;0.5
16-10-2013;0.4;0.5
14-10-2013;0.4;0.5
07-10-2013;0.4;0.5
26-09-2013;0.5;0.6
02-09-2013;0.6;0.8
27-08-2013;0.6;0.6
27-03-2013;0.0;0.0
06-03-2013;0.6;0.8
22-02-2013;0.5;0.6
01-02-2013;0.5;0.65
21-01-2013;0.4;0.5
16-01-2013;0.4;0.8
14-01-2013;0.4;0.45
02-01-2013;0.4;0.5
