Date;Price min;Price max
10-01-2022;1.2;1.2
29-11-2021;1.2;2.2
03-11-2021;1.2;1.7
11-10-2021;1.0;1.0
02-09-2021;1.5;1.7
23-08-2021;1.6;1.6
16-08-2021;0.9;1.5
02-08-2021;1.2;1.5
01-07-2021;1.4;1.5
22-06-2021;1.4;1.4
10-06-2021;1.5;1.5
03-12-2020;0.7;1.0
03-11-2020;0.9;1.2
01-10-2020;1.0;1.2
01-07-2020;1.0;1.1
29-05-2020;1.0;1.6
10-02-2020;1.2;1.2
05-10-2019;1.0;1.0
02-10-2019;0.8;1.3
04-06-2019;1.8;2.0
08-05-2019;2.0;3.3
05-04-2019;0.0;0.0
13-03-2019;0.0;1.3
15-01-2019;1.0;1.2
06-11-2018;1.0;1.0
18-10-2018;0.8;1.2
08-10-2018;1.0;1.0
21-09-2018;1.2;1.2
14-09-2018;0.0;0.0
27-08-2018;1.2;1.2
02-08-2018;1.0;1.0
09-07-2018;0.8;1.0
04-07-2018;0.9;1.0
26-06-2018;0.9;0.9
11-06-2018;0.9;1.2
04-06-2018;1.0;1.3
30-05-2018;1.3;1.3
08-05-2018;1.2;1.4
20-04-2018;1.2;1.2
16-04-2018;1.0;1.2
23-03-2018;1.0;1.0
06-02-2018;0.8;1.0
23-01-2018;1.0;1.0
09-01-2018;0.8;1.0
01-12-2017;1.0;1.0
30-10-2017;0.8;1.0
10-10-2017;0.8;1.0
29-08-2017;1.0;1.0
17-08-2017;1.0;1.2
10-08-2017;0.9;0.9
25-07-2017;1.0;1.2
19-07-2017;1.0;1.0
09-07-2017;0.9;1.1
26-06-2017;0.8;1.2
23-06-2017;1.2;1.6
01-06-2017;1.4;2.2
13-04-2017;1.4;1.4
05-04-2017;1.4;1.4
30-03-2017;1.3;1.3
06-03-2017;1.0;1.2
21-02-2017;0.65;1.2
16-02-2017;1.2;1.2
19-01-2017;1.0;1.2
09-01-2017;0.8;1.2
29-12-2016;1.0;1.2
22-12-2016;0.8;1.2
12-12-2016;0.8;1.2
18-11-2016;1.0;1.0
08-11-2016;0.8;0.8
17-10-2016;0.8;1.0
04-10-2016;0.8;1.2
26-09-2016;1.2;1.2
19-09-2016;1.2;1.2
10-08-2016;1.2;1.2
08-08-2016;1.2;1.2
03-08-2016;1.0;1.1
18-07-2016;1.2;1.2
01-07-2016;1.0;1.0
29-06-2016;1.1;1.2
27-06-2016;0.8;1.2
22-06-2016;1.0;1.3
14-06-2016;0.8;1.2
06-06-2016;1.0;1.5
03-06-2016;1.0;1.0
09-05-2016;1.5;1.5
15-04-2016;1.4;1.4
12-04-2016;1.0;1.4
24-03-2016;1.4;1.4
08-03-2016;1.0;1.2
01-03-2016;1.2;1.2
09-02-2016;1.0;1.0
22-01-2016;1.0;1.2
19-01-2016;0.8;0.8
12-01-2016;0.8;1.0
04-01-2016;1.1;1.1
16-12-2015;0.8;1.0
08-12-2015;0.9;1.0
01-12-2015;0.8;1.0
23-11-2015;1.0;1.2
04-11-2015;1.0;1.0
28-10-2015;1.0;1.2
20-10-2015;1.2;1.2
28-09-2015;0.9;1.2
23-09-2015;0.9;1.3
16-09-2015;1.0;1.3
08-09-2015;1.0;1.0
27-08-2015;0.0;0.0
25-08-2015;1.0;1.0
18-08-2015;0.0;0.0
10-08-2015;0.8;1.0
04-08-2015;0.7;1.0
27-07-2015;0.8;0.9
22-07-2015;0.9;0.9
08-07-2015;0.7;0.8
22-06-2015;0.8;1.0
16-06-2015;1.0;1.1
21-05-2015;1.1;1.5
20-05-2015;1.2;1.2
04-05-2015;0.0;0.0
15-04-2015;0.9;1.0
13-01-2015;1.0;1.0
30-10-2014;0.8;0.8
06-10-2014;1.0;1.0
25-09-2014;0.65;0.85
11-09-2014;0.6;0.85
18-08-2014;0.6;0.65
01-07-2014;0.6;0.8
24-06-2014;0.8;1.0
26-05-2014;1.4;1.6
20-05-2014;1.4;2.0
19-05-2014;2.0;2.0
09-05-2014;1.4;1.4
30-04-2014;0.9;1.0
29-04-2014;0.9;1.0
28-04-2014;0.9;0.9
25-04-2014;0.9;0.9
24-04-2014;0.9;1.0
23-04-2014;0.8;1.0
22-04-2014;0.8;0.8
17-04-2014;0.8;0.8
16-04-2014;0.8;1.0
15-04-2014;0.8;0.8
14-04-2014;0.8;0.8
