Date, Price min, Price max
08-02-2022, 7.8, 9.0
17-01-2022, 7.0, 8.5
11-01-2022, 6.0, 7.0
04-01-2022, 14.0, 14.0
29-11-2021, 8.5, 9.5
25-11-2021, 9.5, 9.5
15-11-2021, 8.8, 8.8
12-11-2021, 8.6, 8.6
03-11-2021, 7.0, 7.0
11-10-2021, 7.5, 8.0
25-08-2021, 7.0, 7.5
12-07-2021, 7.0, 7.0
05-07-2021, 7.0, 8.0
02-07-2021, 3.3, 7.0
01-07-2021, 3.3, 8.0
29-06-2021, 3.5, 4.0
25-06-2021, 3.7, 8.0
08-06-2021, 3.0, 6.0
03-06-2021, 4.0, 7.5
19-04-2021, 4.4, 7.5
06-04-2021, 5.5, 6.5
16-03-2021, 4.8, 5.5
02-03-2021, 5.8, 7.7
12-01-2021, 6.0, 7.0
04-01-2021, 4.5, 5.0
14-12-2020, 9.5, 9.5
07-12-2020, 9.0, 9.0
04-11-2020, 8.0, 8.5
21-10-2020, 7.5, 8.0
01-10-2020, 7.5, 7.5
01-09-2020, 4.5, 5.5
17-07-2020, 4.5, 6.0
09-07-2020, 5.0, 6.0
08-07-2020, 6.0, 6.5
06-07-2020, 3.0, 6.5
11-05-2020, 3.0, 7.5
20-03-2020, 5.5, 7.5
10-02-2020, 7.0, 7.5
13-12-2019, 6.5, 6.5
05-10-2019, 10.0, 10.0
02-10-2019, 7.0, 9.0
18-06-2019, 3.0, 3.5
04-06-2019, 2.3, 3.5
28-05-2019, 2.5, 5.0
20-05-2019, 3.8, 5.0
08-05-2019, 3.0, 5.0
05-04-2019, 2.5, 3.2
13-02-2019, 6.0, 7.0
14-09-2018, 4.5, 4.5
30-08-2018, 4.0, 4.0
27-08-2018, 5.5, 5.5
23-08-2018, 5.0, 5.0
15-08-2018, 4.8, 5.0
09-08-2018, 5.5, 5.5
07-08-2018, 4.5, 4.5
25-07-2018, 3.5, 5.0
23-07-2018, 2.5, 5.5
18-07-2018, 4.5, 5.0
