Date;Price min;Price max
04-01-2022;1.8;2.4
22-11-2021;2.0;2.8
16-11-2021;2.0;2.6
03-11-2021;1.9;2.8
11-10-2021;0.0;0.0
02-09-2021;3.4;3.4
11-05-2021;0.0;0.0
19-04-2021;1.8;2.4
02-02-2021;1.5;2.3
14-12-2020;1.3;2.1
04-11-2020;1.8;3.0
15-05-2020;0.0;0.0
20-03-2020;2.5;2.8
13-12-2019;1.6;1.7
05-10-2019;1.8;2.6
02-10-2019;2.2;2.3
08-05-2019;0.0;0.0
05-04-2019;1.5;2.0
21-02-2019;1.5;2.2
15-01-2019;1.3;1.8
15-11-2018;1.5;1.9
23-10-2018;1.6;2.0
18-10-2018;2.0;2.6
04-06-2018;0.0;0.0
29-05-2018;2.0;2.0
08-05-2018;1.8;2.0
20-04-2018;1.5;2.1
16-04-2018;1.5;2.3
31-03-2018;1.5;2.6
13-03-2018;1.6;2.5
07-03-2018;1.7;2.5
26-02-2018;1.7;2.5
21-02-2018;1.9;2.5
06-02-2018;1.8;2.3
23-01-2018;1.7;2.1
12-01-2018;1.6;1.9
28-12-2017;1.35;1.6
11-12-2017;1.3;1.6
01-12-2017;1.0;2.0
24-11-2017;1.2;2.0
16-11-2017;1.4;2.2
10-11-2017;1.6;2.3
07-11-2017;1.0;2.3
10-10-2017;3.4;3.4
01-06-2017;0.0;0.0
05-05-2017;2.0;2.0
24-04-2017;2.0;2.2
05-04-2017;2.2;2.2
30-03-2017;2.2;3.0
21-03-2017;2.2;3.2
14-03-2017;1.8;3.2
06-03-2017;1.7;2.2
21-02-2017;2.1;2.6
16-02-2017;1.2;2.1
14-02-2017;1.2;2.2
09-02-2017;1.0;2.2
23-01-2017;1.1;2.2
17-01-2017;1.2;2.0
09-01-2017;1.0;2.0
22-12-2016;1.0;2.0
15-11-2016;1.0;2.2
08-11-2016;1.0;2.0
24-10-2016;1.6;2.6
17-10-2016;3.6;3.6
26-09-2016;3.5;3.5
19-09-2016;3.8;3.8
07-09-2016;1.2;1.2
05-09-2016;1.2;1.2
