Date;Price min;Price max
28-02-2022;2.5;3.7
23-02-2022;2.8;3.3
14-02-2022;2.6;3.6
24-01-2022;2.2;2.6
11-01-2022;2.3;2.6
04-01-2022;2.2;2.4
01-12-2021;1.6;2.0
29-11-2021;1.7;2.2
15-11-2021;1.8;2.3
03-11-2021;1.8;2.4
11-10-2021;2.3;2.4
02-09-2021;1.7;1.9
23-08-2021;1.5;1.9
09-08-2021;1.0;2.0
02-08-2021;1.0;2.1
12-07-2021;0.8;2.25
05-07-2021;1.4;2.25
02-07-2021;1.8;2.4
01-07-2021;1.8;2.1
30-06-2021;1.6;2.1
29-06-2021;1.6;2.0
22-06-2021;1.5;2.2
14-06-2021;1.6;2.2
25-05-2021;1.4;2.0
11-05-2021;1.6;2.1
19-04-2021;2.4;3.0
06-04-2021;2.8;3.2
24-03-2021;2.1;2.5
16-03-2021;1.6;2.4
02-03-2021;1.8;2.2
16-02-2021;1.5;2.5
02-02-2021;2.2;2.5
04-01-2021;1.5;2.0
03-11-2020;1.6;2.8
21-10-2020;1.7;2.3
19-10-2020;1.0;2.3
01-10-2020;0.8;1.7
01-09-2020;0.8;1.5
03-08-2020;1.0;1.8
29-07-2020;1.2;1.6
17-07-2020;1.0;1.6
14-07-2020;1.4;2.2
06-07-2020;1.3;1.6
03-07-2020;1.0;1.6
01-07-2020;1.0;2.5
11-06-2020;1.6;2.5
29-05-2020;1.9;2.6
20-03-2020;1.5;2.6
24-02-2020;2.2;2.4
10-02-2020;2.3;4.0
13-12-2019;1.7;2.7
05-10-2019;1.3;1.7
02-10-2019;1.1;1.6
10-09-2019;1.3;1.7
18-06-2019;1.7;1.7
10-06-2019;1.0;1.6
04-06-2019;1.2;1.5
28-05-2019;1.3;1.6
20-05-2019;1.5;2.0
10-05-2019;1.6;2.1
08-05-2019;1.7;2.7
05-04-2019;2.8;3.0
27-03-2019;2.7;2.9
21-02-2019;2.4;2.8
30-01-2019;3.0;3.8
13-12-2018;1.85;2.6
26-11-2018;1.4;1.8
06-11-2018;1.4;2.0
23-10-2018;1.8;2.1
18-10-2018;2.1;2.4
08-10-2018;2.0;2.4
25-09-2018;1.3;2.3
21-09-2018;1.0;2.3
14-09-2018;1.4;2.3
10-09-2018;1.0;2.3
07-09-2018;1.7;2.2
03-09-2018;0.8;2.0
30-08-2018;1.2;1.7
27-08-2018;1.2;1.5
20-08-2018;0.9;1.5
17-08-2018;0.7;1.5
15-08-2018;0.9;1.4
09-08-2018;0.9;1.5
30-07-2018;1.0;1.5
25-07-2018;0.8;1.5
23-07-2018;0.5;1.6
18-07-2018;1.1;1.8
16-07-2018;1.2;1.8
13-07-2018;1.2;2.0
04-07-2018;1.0;1.8
26-06-2018;0.85;1.6
18-06-2018;1.1;1.7
11-06-2018;1.3;1.8
04-06-2018;1.2;1.9
30-05-2018;1.4;2.4
08-05-2018;2.0;2.3
01-05-2018;1.5;2.4
23-04-2018;2.0;2.4
20-04-2018;2.3;2.7
16-04-2018;2.35;2.5
10-04-2018;1.9;2.5
04-04-2018;2.2;2.5
31-03-2018;1.5;1.8
23-03-2018;1.5;2.0
20-03-2018;1.5;2.1
13-03-2018;1.5;2.1
07-03-2018;1.4;1.7
26-02-2018;1.5;1.8
21-02-2018;1.5;2.5
06-02-2018;1.6;2.4
30-01-2018;1.4;2.5
23-01-2018;1.6;2.5
18-01-2018;1.8;2.5
12-01-2018;2.0;2.5
09-01-2018;2.0;2.6
28-12-2017;2.0;2.7
15-12-2017;2.0;2.5
11-12-2017;1.0;2.5
01-12-2017;1.3;2.0
24-11-2017;1.1;2.0
16-11-2017;1.1;1.8
10-11-2017;1.1;1.8
07-11-2017;1.1;2.6
30-10-2017;1.2;2.2
10-10-2017;1.0;2.0
04-10-2017;1.0;2.1
28-09-2017;1.7;2.0
25-09-2017;0.8;2.0
11-09-2017;0.7;2.0
05-09-2017;0.5;1.6
29-08-2017;0.6;1.6
23-08-2017;0.5;1.5
17-08-2017;0.5;1.4
08-08-2017;0.5;1.6
02-08-2017;0.8;1.7
25-07-2017;0.4;1.7
21-07-2017;1.0;1.8
19-07-2017;1.2;1.8
18-07-2017;1.0;1.6
14-07-2017;0.8;1.6
09-07-2017;1.4;2.0
28-06-2017;1.4;1.4
26-06-2017;1.2;1.7
22-06-2017;1.4;1.8
21-06-2017;1.0;2.0
19-06-2017;1.0;1.8
12-06-2017;1.4;2.0
08-06-2017;1.2;1.9
01-06-2017;1.1;1.6
15-05-2017;1.0;3.0
05-05-2017;2.3;3.0
28-04-2017;2.7;3.0
24-04-2017;2.7;3.2
13-04-2017;2.4;3.0
05-04-2017;2.2;3.0
30-03-2017;2.0;2.7
22-03-2017;2.3;2.6
21-03-2017;1.7;2.6
17-03-2017;1.7;2.4
14-03-2017;1.7;2.4
06-03-2017;1.7;2.4
21-02-2017;1.5;2.6
16-02-2017;1.5;2.5
14-02-2017;1.4;2.0
09-02-2017;1.4;2.5
06-02-2017;1.4;2.5
01-02-2017;2.0;2.5
23-01-2017;2.6;2.9
19-01-2017;1.7;2.9
17-01-2017;2.1;2.9
09-01-2017;1.8;2.8
05-01-2017;2.2;2.4
29-12-2016;2.0;2.6
22-12-2016;1.8;2.5
12-12-2016;1.1;1.8
15-11-2016;1.0;1.6
08-11-2016;1.0;1.6
20-10-2016;1.0;2.0
17-10-2016;1.2;2.0
11-10-2016;1.0;2.0
10-10-2016;1.0;1.8
04-10-2016;1.0;1.8
26-09-2016;1.0;1.9
19-09-2016;0.9;1.6
13-09-2016;1.0;1.7
07-09-2016;0.6;1.8
30-08-2016;0.8;2.2
10-08-2016;1.3;1.8
08-08-2016;1.0;1.8
06-08-2016;0.8;2.0
03-08-2016;1.0;1.8
22-07-2016;1.8;2.2
18-07-2016;1.0;2.0
14-07-2016;1.2;1.5
11-07-2016;1.0;1.5
07-07-2016;1.0;1.4
06-07-2016;0.8;1.4
04-07-2016;1.0;1.4
01-07-2016;1.2;1.6
29-06-2016;1.2;1.65
27-06-2016;1.4;1.7
22-06-2016;1.2;1.65
21-06-2016;1.0;1.65
17-06-2016;1.2;1.6
15-06-2016;1.2;1.7
14-06-2016;1.3;1.9
13-06-2016;1.2;1.6
09-06-2016;1.3;1.7
08-06-2016;1.2;1.8
07-06-2016;1.3;1.6
06-06-2016;1.2;1.7
03-06-2016;0.8;1.7
02-06-2016;1.1;1.7
01-06-2016;1.3;2.6
30-05-2016;1.1;3.2
12-05-2016;1.6;3.5
09-05-2016;1.5;3.0
04-05-2016;1.5;2.3
25-04-2016;1.9;2.4
15-04-2016;1.9;2.6
12-04-2016;2.0;2.5
30-03-2016;2.0;2.9
24-03-2016;2.0;2.4
08-03-2016;1.4;1.6
16-02-2016;1.7;2.1
09-02-2016;1.8;2.6
27-01-2016;1.3;2.1
22-01-2016;1.4;2.5
19-01-2016;1.6;3.4
12-01-2016;2.5;3.4
04-01-2016;2.9;3.0
14-12-2015;1.2;2.5
08-12-2015;1.5;2.5
01-12-2015;1.5;1.7
23-11-2015;1.2;1.7
04-11-2015;1.0;1.7
28-10-2015;1.4;2.8
20-10-2015;1.3;1.7
05-10-2015;1.2;2.0
28-09-2015;0.9;1.5
25-09-2015;0.8;1.8
23-09-2015;0.8;1.7
16-09-2015;0.7;1.9
08-09-2015;0.8;1.9
04-09-2015;0.7;1.7
25-08-2015;0.5;1.3
18-08-2015;0.6;1.4
13-08-2015;0.4;1.2
10-08-2015;0.5;1.1
06-08-2015;0.5;1.0
04-08-2015;0.7;1.1
29-07-2015;0.6;1.1
27-07-2015;0.6;1.0
23-07-2015;0.6;1.0
16-07-2015;1.0;1.45
13-07-2015;0.9;1.4
08-07-2015;0.7;1.4
07-07-2015;0.8;1.8
01-07-2015;0.8;1.2
26-06-2015;1.0;1.4
16-06-2015;1.0;2.0
09-06-2015;1.1;2.0
04-06-2015;1.1;2.1
01-06-2015;1.1;3.6
28-05-2015;1.3;2.2
25-05-2015;1.3;2.1
21-05-2015;1.5;2.5
20-05-2015;1.6;2.7
