Date;Price min;Price max
11-10-2021;0.0;0.0
09-08-2021;0.4;0.55
02-08-2021;0.55;0.6
21-07-2021;0.55;0.65
12-07-2021;0.6;0.75
07-07-2021;0.75;0.8
05-07-2021;0.65;0.8
01-07-2021;0.7;0.85
30-06-2021;0.8;0.85
14-06-2021;0.7;0.9
10-06-2021;0.75;0.9
03-06-2021;0.8;1.0
25-05-2021;1.2;1.5
21-05-2021;1.4;1.7
17-05-2021;1.5;1.7
05-05-2021;1.6;1.9
01-04-2021;2.5;3.5
21-10-2020;0.0;0.0
01-10-2020;0.65;0.65
01-09-2020;0.55;0.6
03-08-2020;0.5;0.55
17-07-2020;0.55;0.6
06-07-2020;0.6;0.65
11-06-2020;0.8;1.1
04-06-2020;1.2;1.7
11-05-2020;1.8;2.2
05-10-2019;0.0;0.0
02-10-2019;0.65;0.9
18-06-2019;0.7;0.9
20-05-2019;1.2;1.4
18-10-2018;0.0;0.0
25-09-2018;0.75;0.75
14-09-2018;0.7;0.75
10-09-2018;0.6;0.7
07-09-2018;0.6;0.65
30-08-2018;0.5;0.55
23-08-2018;0.45;0.55
17-08-2018;0.4;0.55
15-08-2018;0.5;0.55
07-08-2018;0.45;0.5
02-08-2018;0.45;0.55
23-07-2018;0.3;0.45
16-07-2018;0.4;0.45
13-07-2018;0.4;0.5
09-07-2018;0.4;0.6
04-07-2018;0.45;0.6
26-06-2018;0.5;0.8
18-06-2018;0.6;0.8
11-06-2018;0.6;0.85
04-06-2018;0.7;0.85
30-05-2018;1.0;1.5
01-05-2018;1.8;1.8
30-10-2017;0.0;0.0
21-09-2017;0.3;0.35
23-08-2017;0.25;0.35
02-08-2017;0.3;0.4
28-07-2017;0.3;0.5
21-07-2017;0.35;0.5
14-07-2017;0.4;0.5
09-07-2017;0.5;0.6
26-06-2017;0.5;0.6
21-06-2017;0.5;0.65
19-06-2017;0.6;0.8
14-06-2017;0.7;0.8
12-06-2017;0.7;0.85
08-06-2017;0.8;1.1
01-06-2017;0.9;1.1
19-09-2016;0.35;0.35
13-09-2016;0.35;0.35
08-09-2016;0.25;0.4
07-09-2016;0.4;0.4
03-08-2016;0.5;0.5
18-07-2016;0.45;0.5
11-07-2016;0.5;0.55
01-07-2016;0.55;0.6
27-06-2016;0.6;0.6
17-06-2016;0.55;0.6
14-06-2016;0.6;0.7
08-06-2016;0.6;0.8
06-06-2016;0.65;0.8
03-06-2016;0.7;0.8
30-05-2016;0.7;0.85
20-10-2015;0.0;0.0
05-10-2015;0.6;0.65
23-09-2015;0.6;0.6
16-09-2015;0.5;0.6
01-09-2015;0.5;0.55
27-08-2015;0.45;0.55
24-08-2015;0.45;0.5
18-08-2015;0.4;0.45
10-08-2015;0.35;0.45
06-08-2015;0.4;0.45
04-08-2015;0.4;0.5
22-07-2015;0.4;0.4
13-07-2015;0.4;0.45
01-07-2015;0.4;0.5
26-06-2015;0.55;0.55
22-06-2015;0.6;0.65
19-06-2015;0.65;0.8
12-06-2015;0.6;0.7
09-06-2015;0.7;0.8
04-06-2015;0.8;0.85
01-06-2015;0.85;1.0
28-05-2015;1.2;2.0
25-05-2015;1.6;2.0
21-05-2015;1.8;2.1
20-05-2015;1.8;2.0
15-05-2015;2.1;2.2
14-05-2015;2.0;2.2
11-05-2015;2.0;2.0
07-05-2015;1.9;2.6
04-05-2015;1.8;2.5
24-04-2015;2.0;2.5
15-04-2015;2.5;3.0
07-04-2015;2.3;3.0
25-03-2015;3.0;4.0
24-03-2015;3.5;4.0
06-10-2014;0.0;0.0
25-09-2014;0.4;0.45
11-09-2014;0.35;0.4
21-08-2014;0.3;0.4
18-08-2014;0.3;0.35
04-08-2014;0.3;0.4
30-07-2014;0.3;0.45
21-07-2014;0.3;0.4
07-07-2014;0.4;0.5
01-07-2014;0.45;0.5
24-06-2014;0.5;0.6
13-06-2014;0.8;0.9
12-06-2014;0.9;0.9
26-05-2014;1.3;1.3
19-05-2014;1.3;1.4
15-05-2014;1.5;1.5
13-05-2014;1.8;1.8
07-05-2014;2.0;2.0
30-04-2014;2.5;2.5
29-04-2014;2.5;2.5
28-04-2014;3.0;3.0
25-04-2014;3.0;3.0
24-04-2014;3.0;3.0
23-04-2014;3.0;3.0
22-04-2014;3.0;3.0
17-04-2014;3.0;3.0
16-04-2014;3.0;3.0
15-04-2014;3.0;3.0
14-04-2014;3.0;3.0
03-04-2014;3.0;3.0
01-04-2014;0.0;0.0
17-03-2014;3.0;3.0
11-03-2014;3.5;3.5
